t,t_abs,bx,by,moving
26.633,1788739653.019,5.083,6.505,0
26.833,1788739653.219,5.083,6.505,0
27.032,1788739653.417,5.083,6.505,0
27.232,1788739653.617,5.083,6.505,0
27.432,1788739653.817,5.083,6.505,0
27.632,1788739654.017,5.083,6.505,0
27.832,1788739654.217,5.083,6.505,0
28.032,1788739654.417,5.083,6.505,0
28.232,1788739654.617,5.083,6.505,0
28.432,1788739654.817,5.083,6.505,0
28.632,1788739655.017,5.083,6.505,0
28.832,1788739655.218,5.083,6.505,0
29.032,1788739655.417,5.083,6.505,0
29.232,1788739655.617,5.083,6.505,0
29.432,1788739655.817,5.083,6.505,0
29.632,1788739656.017,5.083,6.505,0
29.832,1788739656.217,5.083,6.505,0
30.032,1788739656.417,5.083,6.505,0
30.232,1788739656.617,5.083,6.505,0
30.432,1788739656.817,5.083,6.505,0
30.632,1788739657.017,5.083,6.505,0
30.832,1788739657.217,5.083,6.505,0
31.032,1788739657.417,5.083,6.505,0
31.232,1788739657.617,5.083,6.505,0
31.432,1788739657.817,5.083,6.505,0
31.632,1788739658.017,5.083,6.505,0
31.832,1788739658.217,5.083,6.505,0
32.032,1788739658.417,5.083,6.505,0
32.232,1788739658.617,5.083,6.505,0
32.432,1788739658.817,5.083,6.505,0
32.632,1788739659.017,5.083,6.505,0
32.832,1788739659.217,5.083,6.505,0
33.032,1788739659.417,5.083,6.505,0
33.232,1788739659.617,5.083,6.505,0
33.432,1788739659.817,5.083,6.505,0
33.632,1788739660.017,5.083,6.505,0
33.832,1788739660.217,5.083,6.505,0
34.032,1788739660.417,5.083,6.505,0
34.232,1788739660.617,5.083,6.505,0
34.432,1788739660.817,5.083,6.505,0
34.632,1788739661.017,5.083,6.505,0
34.832,1788739661.217,5.083,6.505,0
35.032,1788739661.417,5.083,6.505,0
35.232,1788739661.617,5.083,6.505,0
35.432,1788739661.817,5.083,6.505,0
35.632,1788739662.017,5.083,6.505,0
35.832,1788739662.217,5.083,6.505,0
36.032,1788739662.417,5.083,6.505,0
36.232,1788739662.617,5.083,6.505,0
36.432,1788739662.817,5.083,6.505,0
36.631,1788739663.017,5.083,6.505,0
36.832,1788739663.217,5.083,6.505,0
37.032,1788739663.417,5.083,6.505,0
37.232,1788739663.617,5.083,6.505,0
37.432,1788739663.817,5.083,6.505,0
37.632,1788739664.017,5.083,6.505,0
37.832,1788739664.217,5.083,6.505,0
38.032,1788739664.417,5.083,6.505,0
38.232,1788739664.617,5.083,6.505,0
38.432,1788739664.817,5.083,6.505,0
38.632,1788739665.017,5.083,6.505,0
38.832,1788739665.217,5.083,6.505,0
39.032,1788739665.417,5.083,6.505,0
39.232,1788739665.617,5.083,6.505,0
39.432,1788739665.817,5.083,6.505,0
39.632,1788739666.017,5.083,6.505,0
39.831,1788739666.217,5.083,6.505,0
40.032,1788739666.417,5.083,6.505,0
40.232,1788739666.617,5.083,6.505,0
40.432,1788739666.817,5.083,6.505,0
40.632,1788739667.017,5.083,6.505,0
40.832,1788739667.217,5.083,6.505,0
41.032,1788739667.417,5.083,6.505,0
41.232,1788739667.617,5.083,6.505,0
41.432,1788739667.817,5.083,6.505,0
41.632,1788739668.017,5.083,6.505,0
41.832,1788739668.217,5.083,6.505,0
42.032,1788739668.417,5.083,6.505,0
42.232,1788739668.617,5.083,6.505,0
42.432,1788739668.817,5.083,6.505,0
42.632,1788739669.017,5.083,6.505,0
42.832,1788739669.217,5.083,6.505,0
43.032,1788739669.417,5.083,6.505,0
43.232,1788739669.617,5.083,6.505,0
43.432,1788739669.817,5.083,6.505,0
43.632,1788739670.017,5.083,6.505,0
43.832,1788739670.217,5.083,6.505,0
44.032,1788739670.417,5.083,6.505,0
44.232,1788739670.617,5.083,6.505,0
44.432,1788739670.817,5.083,6.505,0
44.632,1788739671.017,5.083,6.505,0
44.832,1788739671.217,5.083,6.505,0
45.032,1788739671.417,5.083,6.505,0
45.232,1788739671.617,5.083,6.505,0
45.433,1788739671.819,5.083,6.505,0
45.632,1788739672.017,5.083,6.505,0
45.832,1788739672.217,5.083,6.505,0
46.032,1788739672.417,5.083,6.505,0
46.232,1788739672.617,5.083,6.505,0
46.432,1788739672.817,5.083,6.505,0
46.632,1788739673.017,5.083,6.505,0
46.832,1788739673.217,5.083,6.505,0
47.032,1788739673.417,5.083,6.505,0
47.232,1788739673.617,5.083,6.505,0
47.432,1788739673.817,5.083,6.505,0
47.632,1788739674.017,5.083,6.505,0
47.832,1788739674.217,5.083,6.505,0
48.032,1788739674.417,5.083,6.505,0
48.232,1788739674.617,5.083,6.505,0
48.432,1788739674.817,5.083,6.505,0
48.633,1788739675.019,5.083,6.505,0
48.832,1788739675.217,5.083,6.505,0
49.032,1788739675.417,5.083,6.505,0
49.232,1788739675.617,5.083,6.505,0
49.431,1788739675.817,5.083,6.505,0
49.632,1788739676.017,5.083,6.505,0
49.832,1788739676.217,5.083,6.505,0
50.032,1788739676.417,5.083,6.505,0
50.232,1788739676.617,5.083,6.505,0
50.432,1788739676.817,5.083,6.505,0
50.632,1788739677.017,5.083,6.505,0
50.832,1788739677.217,5.083,6.505,0
51.032,1788739677.417,5.083,6.505,0
51.232,1788739677.617,5.083,6.505,0
51.432,1788739677.817,5.083,6.505,0
51.632,1788739678.017,5.083,6.505,0
51.832,1788739678.217,5.083,6.505,0
52.032,1788739678.417,5.083,6.505,0
52.232,1788739678.617,5.083,6.505,0
52.432,1788739678.817,5.083,6.505,0
52.632,1788739679.017,5.083,6.505,0
52.832,1788739679.217,5.083,6.505,0
53.032,1788739679.417,5.083,6.505,0
53.232,1788739679.617,5.083,6.505,0
53.432,1788739679.817,5.083,6.505,0
53.632,1788739680.017,5.083,6.505,0
53.832,1788739680.217,5.083,6.505,0
54.032,1788739680.417,5.083,6.505,0
54.232,1788739680.617,5.083,6.505,0
54.432,1788739680.817,5.083,6.505,0
54.632,1788739681.017,5.083,6.505,0
