t,t_abs,bx,by,moving
0.232,1788739687.876,5.081,3.500,0
0.432,1788739688.076,5.081,3.500,0
0.632,1788739688.276,5.081,3.500,0
0.832,1788739688.476,5.081,3.500,0
1.032,1788739688.676,5.081,3.500,0
1.232,1788739688.876,5.081,3.500,0
1.432,1788739689.076,5.081,3.500,0
1.632,1788739689.276,5.081,3.500,0
1.832,1788739689.476,5.081,3.500,0
2.032,1788739689.676,5.081,3.500,0
2.232,1788739689.876,5.081,3.500,0
2.432,1788739690.076,5.081,3.500,0
2.632,1788739690.276,5.081,3.500,0
2.832,1788739690.476,5.081,3.500,0
3.032,1788739690.676,5.081,3.500,0
3.232,1788739690.876,5.081,3.500,0
3.432,1788739691.076,5.081,3.500,0
3.632,1788739691.276,5.081,3.500,0
3.832,1788739691.476,5.081,3.500,0
4.032,1788739691.676,5.081,3.500,0
4.232,1788739691.876,5.081,3.500,0
4.432,1788739692.076,5.081,3.500,0
4.632,1788739692.276,5.081,3.500,0
4.832,1788739692.476,5.081,3.500,0
5.032,1788739692.676,5.081,3.500,0
5.232,1788739692.876,5.081,3.500,0
5.432,1788739693.076,5.081,3.500,0
5.632,1788739693.276,5.081,3.500,0
5.832,1788739693.476,5.081,3.500,0
6.032,1788739693.676,5.081,3.500,0
6.232,1788739693.876,5.081,3.500,0
6.432,1788739694.076,5.081,3.500,0
6.632,1788739694.276,5.081,3.500,0
6.832,1788739694.476,5.081,3.500,0
7.032,1788739694.676,5.081,3.500,0
7.232,1788739694.876,5.081,3.500,0
7.432,1788739695.076,5.081,3.500,0
7.632,1788739695.276,5.081,3.500,0
7.832,1788739695.476,5.081,3.500,0
8.032,1788739695.676,5.081,3.500,0
8.232,1788739695.876,5.081,3.500,0
8.433,1788739696.077,5.081,3.500,0
8.632,1788739696.276,5.081,3.500,0
8.832,1788739696.476,5.081,3.500,0
9.032,1788739696.676,5.081,3.500,0
9.232,1788739696.876,5.081,3.500,0
9.432,1788739697.076,5.081,3.500,0
9.632,1788739697.276,5.081,3.500,0
9.832,1788739697.476,5.081,3.500,0
10.032,1788739697.676,5.081,3.500,0
10.232,1788739697.876,5.081,3.500,0
10.432,1788739698.076,5.081,3.500,0
10.632,1788739698.276,5.081,3.500,0
10.832,1788739698.476,5.081,3.500,0
11.032,1788739698.676,5.081,3.500,0
11.232,1788739698.876,5.081,3.500,0
11.432,1788739699.076,5.081,3.500,0
11.632,1788739699.276,5.081,3.500,0
11.832,1788739699.476,5.081,3.500,0
12.032,1788739699.676,5.081,3.500,0
12.232,1788739699.876,5.081,3.500,0
12.432,1788739700.076,5.081,3.500,0
12.632,1788739700.276,5.081,3.500,0
12.832,1788739700.476,5.081,3.500,0
13.032,1788739700.676,5.081,3.500,0
13.232,1788739700.876,5.081,3.500,0
13.432,1788739701.076,5.081,3.500,0
13.632,1788739701.276,5.081,3.500,0
13.832,1788739701.476,5.081,3.500,0
14.032,1788739701.676,5.081,3.500,0
14.232,1788739701.876,5.081,3.500,0
14.432,1788739702.076,5.081,3.500,0
14.632,1788739702.276,5.081,3.500,0
14.832,1788739702.476,5.081,3.500,0
15.032,1788739702.676,5.081,3.500,0
15.232,1788739702.876,5.081,3.500,0
15.432,1788739703.076,5.081,3.568,1
15.632,1788739703.276,5.081,3.636,1
15.832,1788739703.476,5.081,3.705,1
16.032,1788739703.676,5.081,3.773,1
16.232,1788739703.876,5.081,3.841,1
16.432,1788739704.076,5.081,3.909,1
16.632,1788739704.276,5.081,3.977,1
16.832,1788739704.476,5.081,4.046,1
17.032,1788739704.676,5.081,4.114,1
17.232,1788739704.876,5.081,4.182,1
17.432,1788739705.076,5.081,4.250,1
17.632,1788739705.276,5.081,4.318,1
17.832,1788739705.476,5.081,4.387,1
18.032,1788739705.676,5.081,4.455,1
18.232,1788739705.876,5.081,4.523,1
18.432,1788739706.076,5.081,4.591,1
18.632,1788739706.276,5.081,4.659,1
18.832,1788739706.476,5.081,4.728,1
19.032,1788739706.676,5.081,4.796,1
19.232,1788739706.876,5.081,4.864,1
19.432,1788739707.076,5.081,4.932,1
19.632,1788739707.276,5.081,5.000,1
19.832,1788739707.476,5.081,5.069,1
20.032,1788739707.676,5.081,5.137,1
20.232,1788739707.876,5.081,5.205,1
20.432,1788739708.076,5.081,5.273,1
20.632,1788739708.276,5.081,5.341,1
20.832,1788739708.476,5.081,5.410,1
21.032,1788739708.676,5.081,5.478,1
21.232,1788739708.876,5.081,5.546,1
21.432,1788739709.076,5.081,5.614,1
21.632,1788739709.276,5.081,5.682,1
21.832,1788739709.476,5.081,5.751,1
22.032,1788739709.676,5.081,5.819,1
22.232,1788739709.876,5.081,5.887,1
22.432,1788739710.076,5.081,5.955,1
22.632,1788739710.276,5.081,6.023,1
22.832,1788739710.476,5.081,6.092,1
23.032,1788739710.676,5.081,6.160,1
23.232,1788739710.876,5.081,6.228,1
23.432,1788739711.076,5.081,6.296,1
23.632,1788739711.276,5.081,6.364,1
23.832,1788739711.476,5.081,6.433,1
24.032,1788739711.676,5.081,6.501,0
24.232,1788739711.876,5.081,6.501,0
24.432,1788739712.076,5.081,6.501,0
