t,t_abs,bx,by,moving
0.232,1788740278.058,4.223,6.500,0
0.431,1788740278.257,4.223,6.500,0
0.631,1788740278.457,4.223,6.500,0
0.831,1788740278.657,4.223,6.500,0
1.031,1788740278.857,4.223,6.500,0
1.231,1788740279.057,4.223,6.500,0
1.431,1788740279.257,4.223,6.500,0
1.631,1788740279.457,4.223,6.500,0
1.831,1788740279.657,4.223,6.500,0
2.031,1788740279.857,4.223,6.500,0
2.231,1788740280.057,4.223,6.500,0
2.431,1788740280.257,4.223,6.500,0
2.631,1788740280.457,4.223,6.500,0
2.831,1788740280.657,4.223,6.500,0
3.031,1788740280.857,4.223,6.500,0
3.231,1788740281.057,4.223,6.500,0
3.431,1788740281.257,4.223,6.500,0
3.632,1788740281.457,4.223,6.500,0
3.831,1788740281.657,4.223,6.500,0
4.031,1788740281.857,4.223,6.500,0
4.231,1788740282.057,4.223,6.500,0
4.431,1788740282.257,4.223,6.500,0
4.631,1788740282.457,4.223,6.500,0
4.831,1788740282.657,4.223,6.500,0
5.031,1788740282.857,4.223,6.500,0
5.231,1788740283.057,4.223,6.500,0
5.431,1788740283.257,4.223,6.500,0
5.631,1788740283.457,4.223,6.500,0
5.831,1788740283.657,4.223,6.500,0
6.031,1788740283.857,4.223,6.500,0
6.231,1788740284.057,4.223,6.500,0
6.431,1788740284.257,4.223,6.500,0
6.631,1788740284.457,4.223,6.500,0
6.831,1788740284.657,4.223,6.500,0
7.031,1788740284.857,4.223,6.500,0
7.231,1788740285.057,4.223,6.500,0
7.431,1788740285.257,4.223,6.500,0
7.631,1788740285.457,4.223,6.500,0
7.831,1788740285.657,4.223,6.500,0
8.031,1788740285.857,4.223,6.500,0
8.231,1788740286.057,4.223,6.500,0
8.433,1788740286.259,4.223,6.500,0
8.633,1788740286.459,4.223,6.500,0
8.832,1788740286.658,4.223,6.500,0
9.031,1788740286.857,4.223,6.500,0
9.231,1788740287.057,4.223,6.500,0
9.431,1788740287.257,4.223,6.500,0
9.631,1788740287.457,4.223,6.500,0
9.831,1788740287.657,4.223,6.500,0
