vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.107558,0.343909,0,22.8776,13.2618,0.0731778,0,0.206346
0.0236854,0.3793,0,23.4809,14.634,1.03901,0,0.22758
0.0790163,0.343785,0,23.0895,13.6533,0.497244,0,0.206271
0.080701,0.276292,0,22.7068,13.8033,0.612165,0,0.165775
0,0.299135,0,24.1197,15,0.605085,0,0.179481
0.115618,0.360043,0,23.5384,13.3112,0.460109,0,0.216026
0.00987725,0.33577,0,23.9826,14.8422,0.130814,0,0.201462
0.0961957,0.32267,0,23.1309,13.3384,0.0150323,0,0.193602
0.039693,0.3361,0,23.172,14.353,0.950305,0,0.20166
0.0928069,0.355408,0,22.8968,13.301,0.541407,0,0.213245
0.00942115,0.341273,0,23.8626,14.8286,0.579441,0,0.204764
0.0175939,0.337184,0,23.5973,14.7133,1.21618,0,0.20231
0.098567,0.346049,0,22.9784,13.307,0.156022,0,0.207629
0.0997658,0.331629,0,22.7835,13.0957,0.219248,0,0.198978
0.101104,0.328437,0,22.0938,13.2608,0.638076,0,0.197062
0,0.307381,0,24.1197,15,0.243576,0,0.184429
0.133689,0.33237,0,22.2465,13.6118,0.900557,0,0.199422
0.00345117,0.316293,0,24.0265,14.9347,0.684215,0,0.189776
0.00605006,0.277789,0,24.0253,14.8857,0.119445,0,0.166673
0.0175223,0.255641,0,23.8384,14.6669,0.312665,0,0.153384
0.103622,0.35455,0,22.6996,13.3081,0.151678,0,0.21273
0.0235456,0.315415,0,23.9535,14.7478,0.365627,0,0.189249
0.126442,0.330382,0,21.593,12.5989,0.075212,0,0.198229
0.0208242,0.333202,0,23.6956,14.6063,0.120449,0,0.199921
0.140173,0.380792,0,21.2286,13.2351,1.00729,0,0.228475
0,0.34692,0,24.1197,15,0.468533,0,0.208152
0.0115258,0.348454,0,23.9847,14.7862,0.457121,0,0.209073
0.053009,0.345562,0,23.9963,14.33,0.32401,0,0.207337
0.144284,0.348458,0,22.183,12.2826,0.152049,0,0.209075
0.0985429,0.330489,0,22.6004,13.1264,0.271752,0,0.198294
0.0164619,0.320492,0,23.8768,14.6982,0.637595,0,0.192295
0.00355117,0.342923,0,24.0313,14.9334,0.290901,0,0.205754
0.130361,0.319475,0,22.6069,12.6423,0.579302,0,0.191685
0.0263787,0.332628,0,23.7551,14.6631,0.403959,0,0.199577
0.0550575,0.324737,0,23.3491,14.3915,1.10837,0,0.194842
0.0226345,0.380802,0,23.7273,14.7289,1.10296,0,0.228481
0.080659,0.296586,0,22.9606,13.5062,0.182642,0,0.177951
0.09079,0.30859,0,22.5476,13.3068,0.0677943,0,0.185154
0.0345161,0.31477,0,23.4264,14.531,1.4222,0,0.188862
0.0920751,0.322917,0,22.8723,13.3971,0.137208,0,0.19375
0.0189524,0.348771,0,23.7581,14.7348,0.703652,0,0.209262
0.0402093,0.29363,0,23.6996,14.2872,0.677949,0,0.176178
0.117294,0.346173,0,22.5434,12.973,0.469025,0,0.207704
0.0671935,0.315705,0,22.7382,13.7767,0.0725408,0,0.189423
0.0949707,0.308178,0,22.4041,13.2346,0.688322,0,0.184907
0.0398528,0.34175,0,23.5653,14.5801,1.3702,0,0.20505
0.0464659,0.32392,0,23.672,14.3874,0.615706,0,0.194352
0.0102035,0.278377,0,23.8728,14.8166,0.87114,0,0.167026
