vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.0878852,0.25536,0,22.6493,13.3965,0.046783,0,0.153216
0,0.376312,0,24.1197,15,0.334653,0,0.225787
0.0630566,0.390091,0,23.1349,13.9654,0.746243,0,0.234055
0.0910722,0.21424,0,22.2675,13.2981,0.28475,0,0.128544
0.0107156,0.281155,0,23.7609,14.8162,1.3297,0,0.168693
0,0.229794,0,24.1197,15,0.719005,0,0.137876
0.028125,0.355191,0,24.0435,14.4847,0.994296,0,0.213114
0.030536,0.227452,0,23.2179,14.4186,0.218271,0,0.136471
0.0305281,0.197659,0,23.2467,14.4157,0.000579834,0,0.118595
0.085457,0.144204,0,22.8133,13.3693,0.275995,0,0.0865226
0.0192665,0.232447,0,23.8096,14.6507,0.365348,0,0.139468
0.0564659,0.305024,0,23.4432,14.5266,1.68442,0,0.183014
0.032654,0.284512,0,23.2611,14.4758,1.11432,0,0.170707
0.0350422,0.289157,0,23.5601,14.3587,0.56017,0,0.173494
0.0418139,0.563994,0,22.9199,14.3314,1.45917,0,0.338396
0.128469,0.48793,0,22.6789,12.7189,0.430428,0,0.292758
0.0618939,0.305698,0,23.8401,13.9585,0.638372,0,0.183419
0.019993,0.243499,0,23.6486,14.7062,1.40357,0,0.146099
0.0739016,0.459455,0,22.9576,13.7381,1.16892,0,0.275673
0.0411753,0.29263,0,23.6427,14.5205,1.11606,0,0.175578
0.0942133,0.197783,0,21.8866,13.2286,0.366941,0,0.11867
0.0625,0.174782,0,22.8133,13.8129,0.303631,0,0.104869
0,0.253184,0,24.1197,15,0.514534,0,0.151911
0.0646921,0.184125,0,22.6514,13.8559,0.752742,0,0.110475
0.0625,0.551185,0,22.8748,14.04,0.172521,0,0.330711
0,0.242271,0,24.1197,15,0.444814,0,0.145363
0.0533808,0.206744,0,23.1185,13.9835,0.0554805,0,0.124046
0.024165,0.218308,0,24.0188,14.5518,0.24134,0,0.130985
0.00332499,0.245603,0,24.1108,14.9447,0.0974584,0,0.147362
0.028125,0.211573,0,24.0144,14.4735,0.145937,0,0.126944
0.0576422,0.196517,0,23.1503,13.8955,0.0852399,0,0.117911
0.0588365,0.250968,0,23.303,14.0468,0.803347,0,0.150581
0.0498784,0.35513,0,23.6376,14.1883,0.289943,0,0.213078
0.0276115,0.171483,0,24.0309,14.4731,0.279306,0,0.10289
0.0197429,0.160848,0,23.9124,14.6277,0.0645719,0,0.0965089
0.0324702,0.185316,0,23.7019,14.4604,0.972634,0,0.111189
0.0719969,0.481492,0,23.5224,14.1227,0.00781393,0,0.288895
0.0327124,0.425349,0,23.2551,14.375,0.297831,0,0.25521
0.00374877,0.15376,0,24.0562,14.9291,0.152691,0,0.0922559
0.03125,0.603557,0,24.1217,14.705,1.12547,0,0.362134
0,0.258359,0,24.1197,15,0.874738,0,0.155015
0.0705293,0.239477,0,22.9885,13.8292,0.77884,0,0.143686
0.0469802,0.277841,0,23.902,14.2377,0.298797,0,0.166705
0.028125,0.307242,0,24.0083,14.5041,1.27641,0,0.184345
0.100475,0.314933,0,23.446,13.0946,0.194657,0,0.18896
0,0.369822,0,24.1197,15,0.156507,0,0.221893
0.128156,0.231179,0,22.7616,12.6515,0.467905,0,0.138707
0.0125997,0.186091,0,24.0573,14.7798,0.648186,0,0.111654
0.0430567,0.206449,0,23.9177,14.1788,0.289722,0,0.123869
0.0278201,0.499138,0,23.5612,14.745,1.62111,0,0.299483
0.0236825,0.196307,0,23.619,14.5477,0.326352,0,0.117784
0.170987,0.109223,0,22.0174,11.882,0.621109,0,0.065534
0.028125,0.244231,0,24.0109,14.4865,0.271679,0,0.146538
0.0474973,0.269699,0,22.972,14.0998,0.466785,0,0.16182
0.0393793,0.440661,0,24.0325,14.6387,1.09459,0,0.264397
0.0578157,0.352426,0,23.1782,13.9079,0.0886531,0,0.211456
0.00480477,0.328568,0,24.025,14.9335,0.658522,0,0.197141
0.116012,0.220228,0,22.1081,12.8252,0.082644,0,0.132137
0.0449694,0.12965,0,23.4859,14.1386,0.0588417,0,0.0777899
0,0.238243,0,24.1197,15,0.715059,0,0.142946
0.0853521,0.460452,0,22.1866,13.6649,1.57858,0,0.276271
0.129894,0.554222,0,22.3092,13.2508,0.25871,0,0.332533
0.0105976,0.114452,0,24.0665,14.807,0.415871,0,0.068671
0.036093,0.296698,0,23.6624,14.3142,0.180902,0,0.178019
0.0807464,0.301843,0,23.4714,13.4975,0.027504,0,0.181106
0.0430831,0.225104,0,23.5542,14.1897,0.404333,0,0.135062
0,0.423483,0,24.1197,15,0.680418,0,0.25409
0.0583939,0.124057,0,23.3319,13.9699,0.4608,0,0.074434
0.108363,0.270913,0,22.7802,12.9297,0.571048,0,0.162548
0.0729541,0.347067,0,22.8761,13.6683,1.11255,0,0.20824
0.0293368,0.2609,0,23.8331,14.4443,0.250091,0,0.15654
0.00382761,0.415774,0,24.0711,14.968,1.15871,0,0.249465
0.0856953,0.332994,0,22.9862,13.3892,0.273385,0,0.199796
0.0845497,0.304077,0,21.9995,13.5831,1.07701,0,0.182446
