t,x,y,yaw,cmd_vx,cmd_wz,scan_min,map_x,map_y
0.8987,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9101,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9187,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9309,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9416,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9484,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9585,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9709,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.9826,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0030,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0033,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0090,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0187,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0287,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0388,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0489,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0636,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0745,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0819,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
1.0896,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1071,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1095,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1193,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1301,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1426,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1496,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1621,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1709,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8287,nan,nan
1.1818,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.1896,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2027,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2137,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2236,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2297,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2395,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2497,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2610,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2695,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2789,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8227,nan,nan
1.2887,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.2988,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3087,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3188,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3288,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3389,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3497,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3588,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3702,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3789,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8296,nan,nan
1.3892,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.3988,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4088,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4193,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4295,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4389,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4487,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4591,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4691,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4793,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8213,nan,nan
1.4895,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.4992,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.5090,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.5192,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.5291,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.5393,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.5499,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.5597,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8257,nan,nan
1.6260,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8292,nan,nan
