bag,course,controller,success,collision,goal_err,ttg,rot_s,path_len,cruise,cruise_p90,min_clear,accel_rms,rms_dv,cmd_jitter,cmd_out_jitter,stall_frac,duration
corridor__dwb__t1,corridor,dwb,True,False,0.3,31.09,7.02,9.29,0.332,0.38,0.638,1.4566,0.0156,0.04853,0.01073,0.1784,52.89
corridor__dwb__t10,corridor,dwb,True,False,0.304,29.06,6.33,9.28,0.353,0.385,0.689,1.3209,0.013,0.04089,0.01011,0.0116,44.07
corridor__dwb__t11,corridor,dwb,True,False,0.3,30.58,6.33,9.37,0.347,0.385,0.63,1.3562,0.0168,0.05404,0.01015,0.0062,44.28
corridor__dwb__t12,corridor,dwb,True,False,0.255,30.56,6.73,9.26,0.343,0.385,0.632,1.2457,0.0154,0.0482,0.0102,0.0088,47.36
corridor__dwb__t13,corridor,dwb,True,False,0.304,30.47,6.21,9.25,0.342,0.384,0.638,1.4986,0.0172,0.05409,0.01031,0.0088,49.46
corridor__dwb__t14,corridor,dwb,True,False,0.3,31.58,7.01,9.25,0.329,0.379,0.64,1.4253,0.0144,0.04499,0.01035,0.007,42.85
corridor__dwb__t15,corridor,dwb,True,False,0.304,29.67,7.02,9.27,0.35,0.388,0.611,1.5993,0.0157,0.04917,0.01011,0.0103,50.88
corridor__dwb__t16,corridor,dwb,True,False,0.304,31.37,6.13,9.29,0.342,0.383,0.624,1.5159,0.0132,0.04268,0.01013,0.0079,44.41
corridor__dwb__t17,corridor,dwb,True,False,0.304,30.49,6.01,9.27,0.344,0.385,0.626,1.4084,0.0161,0.05117,0.01061,0.0065,65.96
corridor__dwb__t18,corridor,dwb,True,False,0.25,31.08,6.31,9.27,0.338,0.382,0.627,1.3886,0.0159,0.04992,0.01048,0.0093,48.64
corridor__dwb__t19,corridor,dwb,True,False,0.35,31.89,6.21,9.26,0.326,0.378,0.629,1.3023,0.0145,0.04563,0.01016,0.0084,44.04
corridor__dwb__t2,corridor,dwb,True,False,0.255,29.19,6.92,9.31,0.349,0.384,0.706,1.2563,0.016,0.05008,0.0106,0.0058,48.04
corridor__dwb__t20,corridor,dwb,True,False,0.25,30.08,6.1,9.27,0.35,0.387,0.629,1.4138,0.0145,0.0461,0.01008,0.0086,42.71
corridor__dwb__t21,corridor,dwb,True,False,0.255,29.38,5.81,9.25,0.35,0.388,0.657,1.4602,0.0144,0.04543,0.01022,0.0088,43.69
corridor__dwb__t22,corridor,dwb,True,False,0.3,29.97,6.03,9.26,0.347,0.387,0.629,1.6288,0.0129,0.0415,0.0103,0.0099,42.43
corridor__dwb__t23,corridor,dwb,True,False,0.3,30.38,6.21,9.27,0.343,0.385,0.634,1.4427,0.0149,0.04861,0.01018,0.0082,44.51
corridor__dwb__t24,corridor,dwb,True,False,0.3,31.46,5.93,9.26,0.319,0.377,0.685,1.4253,0.017,0.05375,0.01067,0.0095,41.96
corridor__dwb__t25,corridor,dwb,True,False,0.25,31.37,6.83,9.23,0.322,0.38,0.628,1.4636,0.0148,0.0465,0.01047,0.0076,44.42
corridor__dwb__t26,corridor,dwb,True,False,0.304,30.87,7.03,9.26,0.332,0.381,0.651,1.3635,0.0183,0.0575,0.01047,0.0071,42.65
corridor__dwb__t27,corridor,dwb,True,False,0.3,29.98,6.31,9.25,0.347,0.387,0.637,1.5122,0.0128,0.04081,0.0101,0.0086,41.97
corridor__dwb__t28,corridor,dwb,True,False,0.304,30.87,5.9,9.26,0.341,0.383,0.636,1.4206,0.0163,0.05158,0.01033,0.009,43.9
corridor__dwb__t29,corridor,dwb,True,False,0.304,30.19,6.32,9.3,0.346,0.381,0.636,1.4037,0.0152,0.04746,0.01026,0.1654,45.6
corridor__dwb__t3,corridor,dwb,True,False,0.354,29.58,6.32,9.27,0.346,0.38,0.604,1.376,0.0148,0.04821,0.01066,0.0098,45.66
corridor__dwb__t30,corridor,dwb,True,False,0.304,30.27,6.31,9.26,0.341,0.379,0.65,1.4136,0.0178,0.05738,0.01046,0.0082,42.2
corridor__dwb__t4,corridor,dwb,False,False,7.301,49.88,6.31,13.74,0.338,0.381,0.375,1.2663,0.0184,0.05715,0.01089,0.1103,63.34
corridor__dwb__t5,corridor,dwb,True,False,0.255,29.39,5.91,9.27,0.349,0.382,0.61,1.2464,0.0149,0.04746,0.01043,0.0095,47.55
corridor__dwb__t6,corridor,dwb,True,False,0.304,29.18,6.32,9.27,0.351,0.386,0.628,1.2646,0.0151,0.04838,0.01048,0.0095,72.49
corridor__dwb__t7,corridor,dwb,True,False,0.255,30.97,6.22,9.26,0.34,0.376,0.636,1.2185,0.0163,0.05139,0.01042,0.1579,44.39
corridor__dwb__t8,corridor,dwb,True,False,0.255,30.07,6.02,9.25,0.343,0.381,0.636,1.2082,0.016,0.0514,0.0105,0.0106,42.7
corridor__dwb__t9,corridor,dwb,True,False,0.304,30.28,6.11,9.24,0.337,0.375,0.603,1.2572,0.0191,0.06096,0.01067,0.0099,43.18
corridor__mppi__t1,corridor,mppi,True,False,0.403,24.47,6.11,9.29,0.393,0.415,0.64,1.6073,0.0047,0.00824,0.00431,0.012,41.28
corridor__mppi__t10,corridor,mppi,True,False,0.304,24.75,7.53,9.44,0.393,0.414,0.612,1.7054,0.0123,0.00848,0.00477,0.2236,44.62
corridor__mppi__t11,corridor,mppi,True,False,0.403,25.38,0.0,9.54,0.393,0.413,0.611,1.5812,0.0043,0.00711,0.00417,0.0089,34.45
corridor__mppi__t12,corridor,mppi,True,False,0.25,24.69,6.31,9.41,0.393,0.412,0.611,1.4891,0.0049,0.00877,0.00428,0.0095,37.72
corridor__mppi__t13,corridor,mppi,True,False,0.206,24.66,6.31,9.35,0.392,0.409,0.644,1.515,0.0047,0.00882,0.00416,0.0123,35.94
corridor__mppi__t14,corridor,mppi,True,False,0.255,24.68,7.52,9.33,0.393,0.413,0.653,1.6599,0.0043,0.00815,0.00422,0.01,39.99
corridor__mppi__t15,corridor,mppi,True,False,0.255,24.8,6.31,9.36,0.392,0.412,0.689,1.7717,0.0043,0.00919,0.00419,0.0103,38.51
corridor__mppi__t16,corridor,mppi,True,False,0.502,25.11,2.6,9.55,0.393,0.411,0.679,1.9999,0.0047,0.00843,0.00421,0.0105,37.49
corridor__mppi__t17,corridor,mppi,True,False,0.45,24.88,6.01,9.38,0.392,0.41,0.633,1.6166,0.0042,0.00763,0.00417,0.0111,37.05
corridor__mppi__t18,corridor,mppi,True,False,0.403,24.49,7.12,9.37,0.393,0.414,0.347,2.1922,0.0051,0.00846,0.00433,0.0102,43.17
corridor__mppi__t19,corridor,mppi,True,False,0.25,24.57,7.43,9.43,0.393,0.411,0.663,1.4965,0.005,0.00854,0.00428,0.0096,46.73
corridor__mppi__t2,corridor,mppi,True,False,0.255,24.78,6.23,9.42,0.394,0.425,0.688,3.8061,0.0049,0.00871,0.00443,0.0079,38.06
corridor__mppi__t20,corridor,mppi,True,False,0.453,24.49,6.32,9.36,0.393,0.413,0.678,1.7021,0.005,0.00895,0.00427,0.0116,36.85
corridor__mppi__t21,corridor,mppi,True,False,0.502,24.78,6.12,9.38,0.392,0.411,0.646,1.5766,0.0046,0.00762,0.00423,0.0099,36.22
corridor__mppi__t22,corridor,mppi,True,False,0.354,26.97,7.52,9.43,0.391,0.41,0.634,1.5475,0.0087,0.01486,0.00593,0.0428,40.8
corridor__mppi__t23,corridor,mppi,True,False,0.255,24.68,7.43,9.38,0.393,0.412,0.627,1.6181,0.0046,0.00923,0.00429,0.01,40.72
corridor__mppi__t24,corridor,mppi,True,False,0.3,24.68,6.62,9.36,0.393,0.409,0.553,1.4354,0.0048,0.00951,0.00429,0.0088,40.26
corridor__mppi__t25,corridor,mppi,True,False,0.25,25.19,6.92,9.39,0.387,0.406,0.689,1.6461,0.004,0.0067,0.00418,0.0106,39.54
corridor__mppi__t26,corridor,mppi,True,False,0.304,24.87,7.33,9.36,0.392,0.41,0.671,1.5918,0.0038,0.00794,0.00424,0.0128,37.19
corridor__mppi__t27,corridor,mppi,True,False,0.3,24.78,6.43,9.38,0.393,0.411,0.689,1.4721,0.0041,0.00808,0.0042,0.0469,37.9
corridor__mppi__t28,corridor,mppi,True,False,0.4,24.57,6.13,9.38,0.393,0.411,0.616,1.4566,0.005,0.00907,0.00432,0.0132,39.91
corridor__mppi__t29,corridor,mppi,True,False,0.403,24.7,6.01,9.37,0.392,0.41,0.664,1.5559,0.0046,0.00791,0.00421,0.0115,35.3
corridor__mppi__t3,corridor,mppi,True,False,0.354,24.87,7.52,9.39,0.393,0.414,0.676,1.9052,0.012,0.00774,0.00496,0.2229,44.34
corridor__mppi__t30,corridor,mppi,True,False,0.453,24.68,6.12,9.37,0.393,0.409,0.678,3.1875,0.0048,0.00877,0.00423,0.0072,43.43
corridor__mppi__t4,corridor,mppi,True,False,0.255,24.8,7.22,9.39,0.393,0.413,0.686,1.5948,0.0047,0.00883,0.00456,0.0099,44.45
corridor__mppi__t5,corridor,mppi,True,False,0.304,24.62,7.59,9.37,0.393,0.411,0.629,1.5392,0.0123,0.01007,0.00457,0.0131,40.75
corridor__mppi__t6,corridor,mppi,True,False,0.453,24.6,7.31,9.35,0.393,0.413,0.643,1.6778,0.0047,0.01104,0.00434,0.2181,39.88
corridor__mppi__t7,corridor,mppi,True,False,0.255,24.6,6.41,9.45,0.394,0.416,0.688,1.7539,0.0052,0.01044,0.00435,0.0099,43.17
corridor__mppi__t8,corridor,mppi,True,False,0.5,24.68,6.22,9.39,0.393,0.415,0.641,1.9178,0.0047,0.00828,0.00433,0.01,45.64
