world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
clutter,1,comppi_iid,False,False,9.96,7.302,0.3,1.1,0.0025,0.034,RESULT: FAILURE (status=6)
clutter,1,comppi_colored,True,False,21.26,0.247,7.41,0.25,0.0081,0.398,RESULT: SUCCESS (status=4)
clutter,2,comppi,True,False,20.96,0.243,7.36,0.3,0.0086,0.395,RESULT: SUCCESS (status=4)
clutter,2,comppi_iid,False,False,9.96,7.3,0.3,1.1,0.0026,0.036,RESULT: FAILURE (status=6)
clutter,2,comppi_colored,True,False,20.96,0.248,7.38,0.3,0.0083,0.399,RESULT: SUCCESS (status=4)
clutter,3,comppi,True,False,20.96,0.249,7.35,0.4,0.0083,0.394,RESULT: SUCCESS (status=4)
clutter,3,comppi_iid,False,False,9.96,7.299,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
clutter,3,comppi_colored,True,False,21.06,0.247,7.36,0.4,0.008,0.398,RESULT: SUCCESS (status=4)
clutter,4,comppi,True,False,22.36,0.243,7.96,0.25,0.009,0.397,RESULT: SUCCESS (status=4)
clutter,4,comppi_iid,False,False,9.96,7.308,0.3,0.856,0.0026,0.034,RESULT: FAILURE (status=6)
clutter,4,comppi_colored,True,False,23.26,0.25,7.97,0.25,0.0081,0.398,RESULT: SUCCESS (status=4)
clutter,5,comppi,True,False,20.66,0.249,7.35,0.4,0.0099,0.395,RESULT: SUCCESS (status=4)
clutter,5,comppi_iid,False,False,9.96,7.303,0.3,0.695,0.0026,0.035,RESULT: FAILURE (status=6)
clutter,5,comppi_colored,True,False,21.86,0.247,7.36,0.35,0.0079,0.398,RESULT: SUCCESS (status=4)
clutter,6,comppi,True,False,21.26,0.245,7.36,0.25,0.0077,0.395,RESULT: SUCCESS (status=4)
clutter,6,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0028,0.034,RESULT: FAILURE (status=6)
clutter,6,comppi_colored,True,False,20.86,0.247,7.36,0.25,0.0087,0.398,RESULT: SUCCESS (status=4)
clutter,7,comppi,True,False,21.36,0.24,7.61,0.25,0.0096,0.398,RESULT: SUCCESS (status=4)
clutter,7,comppi_iid,False,False,9.96,7.315,0.3,1.1,0.0028,0.034,RESULT: FAILURE (status=6)
clutter,7,comppi_colored,True,False,22.06,0.246,7.62,0.25,0.0085,0.398,RESULT: SUCCESS (status=4)
clutter,8,comppi,True,False,20.86,0.247,7.36,0.4,0.0084,0.395,RESULT: SUCCESS (status=4)
clutter,8,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0024,0.033,RESULT: FAILURE (status=6)
clutter,8,comppi_colored,True,False,21.66,0.247,7.36,0.35,0.0078,0.398,RESULT: SUCCESS (status=4)
clutter,9,comppi,True,False,20.96,0.247,7.36,0.65,0.0082,0.395,RESULT: SUCCESS (status=4)
clutter,9,comppi_iid,False,False,9.96,7.305,0.3,0.707,0.0028,0.033,RESULT: FAILURE (status=6)
clutter,9,comppi_colored,True,False,20.76,0.245,7.36,0.658,0.0097,0.399,RESULT: SUCCESS (status=4)
clutter,10,comppi,True,False,21.28,0.243,7.46,0.25,0.0089,0.396,RESULT: SUCCESS (status=4)
clutter,10,comppi_iid,False,False,9.96,7.302,0.3,1.1,0.0027,0.036,RESULT: FAILURE (status=6)
clutter,10,comppi_colored,True,False,20.96,0.244,7.48,0.25,0.009,0.399,RESULT: SUCCESS (status=4)
clutter,11,comppi,True,False,20.96,0.245,7.36,0.55,0.0081,0.395,RESULT: SUCCESS (status=4)
clutter,11,comppi_iid,False,False,9.96,7.301,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
clutter,11,comppi_colored,True,False,21.56,0.247,7.36,0.55,0.008,0.398,RESULT: SUCCESS (status=4)
clutter,12,comppi,True,False,21.16,0.246,7.38,0.25,0.0082,0.396,RESULT: SUCCESS (status=4)
clutter,12,comppi_iid,False,False,9.96,7.307,0.29,1.1,0.0028,0.034,RESULT: FAILURE (status=6)
clutter,12,comppi_colored,True,False,20.86,0.248,7.39,0.3,0.0084,0.399,RESULT: SUCCESS (status=4)
clutter,13,comppi,True,False,21.06,0.246,7.36,0.255,0.0087,0.396,RESULT: SUCCESS (status=4)
clutter,13,comppi_iid,False,False,10.06,7.297,0.3,1.1,0.0025,0.035,RESULT: FAILURE (status=6)
clutter,13,comppi_colored,True,False,20.76,0.249,7.36,0.292,0.0085,0.399,RESULT: SUCCESS (status=4)
clutter,14,comppi,True,False,21.16,0.245,7.41,0.25,0.0084,0.395,RESULT: SUCCESS (status=4)
clutter,14,comppi_iid,False,False,9.96,7.31,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
clutter,14,comppi_colored,True,False,20.56,0.24,7.43,0.25,0.0102,0.399,RESULT: SUCCESS (status=4)
gap,0,comppi,True,False,24.16,0.247,8.62,0.25,0.0084,0.397,RESULT: SUCCESS (status=4)
gap,0,comppi_iid,False,False,9.96,7.35,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
gap,0,comppi_colored,True,False,23.76,0.247,8.66,0.25,0.0093,0.399,RESULT: SUCCESS (status=4)
gap,1,comppi,True,False,20.86,0.246,7.36,0.3,0.0089,0.395,RESULT: SUCCESS (status=4)
gap,1,comppi_iid,False,False,9.96,7.303,0.3,1.1,0.0024,0.033,RESULT: FAILURE (status=6)
gap,1,comppi_colored,True,False,21.06,0.243,7.37,0.269,0.0086,0.398,RESULT: SUCCESS (status=4)
gap,2,comppi,True,False,20.96,0.246,7.41,0.25,0.0093,0.396,RESULT: SUCCESS (status=4)
gap,2,comppi_iid,False,False,9.96,7.306,0.3,1.1,0.0025,0.033,RESULT: FAILURE (status=6)
gap,2,comppi_colored,True,False,21.16,0.246,7.43,0.3,0.008,0.398,RESULT: SUCCESS (status=4)
gap,3,comppi,True,False,22.46,0.243,8.11,0.25,0.0103,0.397,RESULT: SUCCESS (status=4)
gap,3,comppi_iid,False,False,9.96,7.334,0.3,1.1,0.0028,0.033,RESULT: FAILURE (status=6)
gap,3,comppi_colored,True,False,23.16,0.245,8.14,0.269,0.0081,0.399,RESULT: SUCCESS (status=4)
gap,4,comppi,True,False,21.16,0.249,7.35,0.3,0.0079,0.396,RESULT: SUCCESS (status=4)
gap,4,comppi_iid,False,False,9.96,7.305,0.3,1.1,0.0025,0.033,RESULT: FAILURE (status=6)
gap,4,comppi_colored,True,False,21.26,0.246,7.36,0.3,0.0082,0.398,RESULT: SUCCESS (status=4)
gap,5,comppi,True,False,21.76,0.248,7.74,0.25,0.0088,0.396,RESULT: SUCCESS (status=4)
gap,5,comppi_iid,False,False,9.96,7.317,0.3,1.1,0.0028,0.034,RESULT: FAILURE (status=6)
gap,5,comppi_colored,True,False,21.76,0.242,7.77,0.269,0.0104,0.399,RESULT: SUCCESS (status=4)
gap,6,comppi,True,False,24.26,0.246,8.47,0.25,0.0073,0.398,RESULT: SUCCESS (status=4)
gap,6,comppi_iid,False,False,9.96,7.343,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
gap,6,comppi_colored,True,False,23.46,0.248,8.51,0.269,0.0106,0.399,RESULT: SUCCESS (status=4)
gap,7,comppi,True,False,22.76,0.242,8.07,0.25,0.0086,0.397,RESULT: SUCCESS (status=4)
gap,7,comppi_iid,False,False,9.98,7.329,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
gap,7,comppi_colored,True,False,24.16,0.249,8.09,0.25,0.008,0.399,RESULT: SUCCESS (status=4)
gap,8,comppi,True,False,20.76,0.249,7.35,0.3,0.0102,0.395,RESULT: SUCCESS (status=4)
gap,8,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0025,0.034,RESULT: FAILURE (status=6)
gap,8,comppi_colored,True,False,20.24,0.243,7.37,0.3,0.0115,0.399,RESULT: SUCCESS (status=4)
gap,9,comppi,True,False,20.86,0.243,7.38,0.25,0.0084,0.394,RESULT: SUCCESS (status=4)
gap,9,comppi_iid,False,False,9.96,7.301,0.3,1.1,0.0026,0.033,RESULT: FAILURE (status=6)
gap,9,comppi_colored,True,False,21.16,0.247,7.39,0.3,0.008,0.398,RESULT: SUCCESS (status=4)
gap,10,comppi,True,False,22.96,0.247,8.14,0.25,0.0081,0.398,RESULT: SUCCESS (status=4)
gap,10,comppi_iid,False,False,9.96,7.333,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
gap,10,comppi_colored,True,False,23.36,0.245,8.18,0.269,0.008,0.399,RESULT: SUCCESS (status=4)
gap,11,comppi,True,False,23.76,0.242,8.48,0.25,0.0087,0.397,RESULT: SUCCESS (status=4)
gap,11,comppi_iid,False,False,9.96,7.343,0.3,1.1,0.0028,0.035,RESULT: FAILURE (status=6)
gap,11,comppi_colored,True,False,24.36,0.248,8.49,0.269,0.0078,0.399,RESULT: SUCCESS (status=4)
gap,12,comppi,True,False,21.56,0.244,7.68,0.25,0.0095,0.397,RESULT: SUCCESS (status=4)
gap,12,comppi_iid,False,False,9.96,7.32,0.29,1.1,0.0025,0.033,RESULT: FAILURE (status=6)
gap,12,comppi_colored,True,False,22.06,0.249,7.69,0.255,0.0079,0.399,RESULT: SUCCESS (status=4)
gap,13,comppi,True,False,21.16,0.246,7.42,0.25,0.0093,0.395,RESULT: SUCCESS (status=4)
gap,13,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0027,0.036,RESULT: FAILURE (status=6)
gap,13,comppi_colored,True,False,21.66,0.247,7.43,0.269,0.0083,0.398,RESULT: SUCCESS (status=4)
gap,14,comppi,True,False,21.96,0.248,7.76,0.25,0.0089,0.397,RESULT: SUCCESS (status=4)
gap,14,comppi_iid,False,False,9.96,7.318,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
gap,14,comppi_colored,True,False,22.46,0.248,7.79,0.255,0.0083,0.399,RESULT: SUCCESS (status=4)
blocked,0,comppi,True,False,20.66,0.249,7.48,0.269,0.0117,0.4,RESULT: SUCCESS (status=4)
blocked,0,comppi_iid,False,False,9.96,7.305,0.29,1.1,0.0027,0.033,RESULT: FAILURE (status=6)
blocked,0,comppi_colored,True,False,20.76,0.241,7.53,0.269,0.0115,0.4,RESULT: SUCCESS (status=4)
blocked,1,comppi,True,False,21.16,0.25,7.63,0.255,0.0087,0.4,RESULT: SUCCESS (status=4)
blocked,1,comppi_iid,False,False,9.96,7.301,0.3,1.1,0.0026,0.033,RESULT: FAILURE (status=6)
blocked,1,comppi_colored,True,False,21.76,0.247,7.72,0.255,0.0079,0.4,RESULT: SUCCESS (status=4)
blocked,2,comppi,True,False,20.96,0.247,7.52,0.269,0.0088,0.4,RESULT: SUCCESS (status=4)
blocked,2,comppi_iid,False,False,9.96,7.269,0.33,1.1,0.01,0.096,RESULT: FAILURE (status=6)
blocked,2,comppi_colored,True,False,20.76,0.248,7.54,0.25,0.0093,0.4,RESULT: SUCCESS (status=4)
blocked,3,comppi,True,False,20.86,0.24,7.62,0.292,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked,3,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0026,0.033,RESULT: FAILURE (status=6)
blocked,3,comppi_colored,True,False,21.76,0.249,7.69,0.25,0.0077,0.4,RESULT: SUCCESS (status=4)
blocked,4,comppi,True,False,21.16,0.242,7.7,0.269,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked,4,comppi_iid,False,False,9.96,7.297,0.3,1.1,0.0027,0.035,RESULT: FAILURE (status=6)
blocked,4,comppi_colored,True,False,21.76,0.247,7.76,0.269,0.0076,0.4,RESULT: SUCCESS (status=4)
blocked,5,comppi,True,False,21.56,0.246,7.49,0.292,0.0075,0.4,RESULT: SUCCESS (status=4)
blocked,5,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0024,0.033,RESULT: FAILURE (status=6)
blocked,5,comppi_colored,True,False,21.96,0.247,7.52,0.255,0.0077,0.4,RESULT: SUCCESS (status=4)
blocked,6,comppi,True,False,20.96,0.247,7.53,0.269,0.0093,0.4,RESULT: SUCCESS (status=4)
blocked,6,comppi_iid,False,False,9.96,7.298,0.3,1.1,0.0029,0.034,RESULT: FAILURE (status=6)
blocked,6,comppi_colored,True,False,21.86,0.248,7.57,0.269,0.0079,0.4,RESULT: SUCCESS (status=4)
blocked,7,comppi,True,False,21.16,0.247,7.49,0.255,0.0079,0.4,RESULT: SUCCESS (status=4)
blocked,7,comppi_iid,False,False,9.96,7.3,0.3,1.1,0.0028,0.033,RESULT: FAILURE (status=6)
blocked,7,comppi_colored,True,False,21.56,0.248,7.51,0.269,0.0079,0.4,RESULT: SUCCESS (status=4)
blocked,8,comppi,True,False,21.16,0.248,7.52,0.269,0.0087,0.4,RESULT: SUCCESS (status=4)
blocked,8,comppi_iid,False,False,9.96,7.299,0.3,1.1,0.0025,0.035,RESULT: FAILURE (status=6)
blocked,8,comppi_colored,True,False,21.26,0.247,7.57,0.269,0.0084,0.4,RESULT: SUCCESS (status=4)
blocked,9,comppi,True,False,21.26,0.246,7.54,0.269,0.0083,0.4,RESULT: SUCCESS (status=4)
blocked,9,comppi_iid,False,False,9.96,7.303,0.3,1.1,0.0025,0.034,RESULT: FAILURE (status=6)
blocked,9,comppi_colored,True,False,22.26,0.246,7.61,0.269,0.008,0.4,RESULT: SUCCESS (status=4)
blocked,10,comppi,True,False,21.26,0.246,7.52,0.269,0.0084,0.4,RESULT: SUCCESS (status=4)
blocked,10,comppi_iid,False,False,9.96,7.304,0.3,1.1,0.0025,0.034,RESULT: FAILURE (status=6)
blocked,10,comppi_colored,True,False,22.26,0.25,7.57,0.292,0.0081,0.4,RESULT: SUCCESS (status=4)
