world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
open,9,mppi,True,False,19.16,0.246,7.35,1.1,0.015,0.403,RESULT: SUCCESS (status=4)
open,9,comppi_iid,False,False,9.96,7.299,0.3,1.1,0.0028,0.034,RESULT: FAILURE (status=6)
open,9,comppi_nodetour,True,False,20.76,0.25,7.35,1.1,0.0092,0.395,RESULT: SUCCESS (status=4)
open,9,comppi_noanneal,True,False,20.66,0.244,7.36,1.1,0.0093,0.394,RESULT: SUCCESS (status=4)
open,10,comppi,True,False,20.86,0.244,7.36,1.1,0.0086,0.394,RESULT: SUCCESS (status=4)
open,10,dwb,True,False,21.88,0.244,7.36,1.1,0.0255,0.4,RESULT: SUCCESS (status=4)
open,10,mppi,True,False,19.16,0.246,7.35,1.1,0.015,0.403,RESULT: SUCCESS (status=4)
open,10,comppi_iid,False,False,9.96,7.301,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
open,10,comppi_nodetour,True,False,20.56,0.248,7.35,1.1,0.0096,0.394,RESULT: SUCCESS (status=4)
open,10,comppi_noanneal,True,False,21.16,0.246,7.36,1.1,0.0079,0.395,RESULT: SUCCESS (status=4)
open,11,comppi,True,False,21.06,0.249,7.35,1.1,0.0082,0.395,RESULT: SUCCESS (status=4)
open,11,dwb,True,False,21.86,0.247,7.35,1.1,0.0255,0.4,RESULT: SUCCESS (status=4)
open,11,mppi,True,False,19.16,0.246,7.35,1.1,0.015,0.403,RESULT: SUCCESS (status=4)
open,11,comppi_iid,False,False,9.96,7.302,0.3,1.1,0.0026,0.036,RESULT: FAILURE (status=6)
open,11,comppi_nodetour,True,False,20.76,0.247,7.36,1.1,0.0084,0.394,RESULT: SUCCESS (status=4)
open,11,comppi_noanneal,True,False,20.76,0.243,7.36,1.1,0.0095,0.395,RESULT: SUCCESS (status=4)
open,12,comppi,True,False,20.86,0.246,7.36,1.1,0.0091,0.395,RESULT: SUCCESS (status=4)
open,12,dwb,True,False,21.86,0.247,7.35,1.1,0.0255,0.4,RESULT: SUCCESS (status=4)
open,12,mppi,True,False,19.16,0.246,7.35,1.1,0.015,0.403,RESULT: SUCCESS (status=4)
open,12,comppi_iid,False,False,9.96,7.305,0.3,1.1,0.0027,0.033,RESULT: FAILURE (status=6)
open,12,comppi_nodetour,True,False,20.86,0.245,7.36,1.1,0.0101,0.396,RESULT: SUCCESS (status=4)
open,12,comppi_noanneal,True,False,21.06,0.249,7.35,1.1,0.0079,0.395,RESULT: SUCCESS (status=4)
open,13,comppi,True,False,20.68,0.247,7.36,1.1,0.0098,0.396,RESULT: SUCCESS (status=4)
open,13,dwb,True,False,21.86,0.247,7.35,1.1,0.0247,0.4,RESULT: SUCCESS (status=4)
open,13,mppi,True,False,19.16,0.246,7.35,1.1,0.015,0.403,RESULT: SUCCESS (status=4)
open,13,comppi_iid,False,False,9.98,7.303,0.3,1.1,0.0026,0.033,RESULT: FAILURE (status=6)
open,13,comppi_nodetour,True,False,20.96,0.245,7.36,1.1,0.0083,0.395,RESULT: SUCCESS (status=4)
