world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,8,comppi_iid_l010,True,False,26.66,0.236,7.38,1.1,,,0.0244,0.395,RESULT: SUCCESS (status=4)
open,8,comppi_iid_l003,True,False,24.86,0.249,7.39,1.1,,,0.0287,0.4,RESULT: SUCCESS (status=4)
open,9,comppi_iid_nolimit,True,False,27.16,0.249,7.35,1.1,,,0.0164,0.318,RESULT: SUCCESS (status=4)
open,9,comppi_iid_amax1,True,False,23.36,0.247,7.35,1.1,,,0.0101,0.351,RESULT: SUCCESS (status=4)
open,9,comppi_iid_symacc,True,False,21.96,0.231,7.37,1.1,,,0.0121,0.383,RESULT: SUCCESS (status=4)
open,9,comppi_iid_l010,True,False,24.76,0.228,7.41,1.1,,,0.0267,0.4,RESULT: SUCCESS (status=4)
open,9,comppi_iid_l003,True,False,25.16,0.226,7.43,1.1,,,0.0335,0.4,RESULT: SUCCESS (status=4)
open,10,comppi_iid_nolimit,True,False,27.16,0.24,7.36,1.1,,,0.0163,0.312,RESULT: SUCCESS (status=4)
open,10,comppi_iid_amax1,True,False,23.46,0.248,7.35,1.1,,,0.0104,0.356,RESULT: SUCCESS (status=4)
open,10,comppi_iid_symacc,True,False,21.86,0.235,7.37,1.1,,,0.0124,0.384,RESULT: SUCCESS (status=4)
open,10,comppi_iid_l010,True,False,23.46,0.224,7.42,1.1,,,0.0263,0.4,RESULT: SUCCESS (status=4)
open,10,comppi_iid_l003,True,False,24.96,0.235,7.4,1.1,,,0.0326,0.4,RESULT: SUCCESS (status=4)
open,11,comppi_iid_nolimit,True,False,27.06,0.245,7.36,1.1,,,0.0173,0.313,RESULT: SUCCESS (status=4)
open,11,comppi_iid_amax1,True,False,23.66,0.245,7.36,1.1,,,0.0107,0.35,RESULT: SUCCESS (status=4)
open,11,comppi_iid_symacc,True,False,21.68,0.237,7.36,1.1,,,0.013,0.385,RESULT: SUCCESS (status=4)
open,11,comppi_iid_l010,True,False,25.56,0.229,7.4,1.1,,,0.0256,0.4,RESULT: SUCCESS (status=4)
open,11,comppi_iid_l003,True,False,26.76,0.236,7.4,1.1,,,0.0285,0.4,RESULT: SUCCESS (status=4)
open,12,comppi_iid_nolimit,True,False,27.26,0.247,7.35,1.1,,,0.0158,0.314,RESULT: SUCCESS (status=4)
open,12,comppi_iid_amax1,True,False,23.56,0.247,7.35,1.1,,,0.0104,0.354,RESULT: SUCCESS (status=4)
open,12,comppi_iid_symacc,True,False,22.06,0.234,7.37,1.1,,,0.0121,0.384,RESULT: SUCCESS (status=4)
open,12,comppi_iid_l010,True,False,24.76,0.245,7.38,1.1,,,0.0258,0.4,RESULT: SUCCESS (status=4)
open,12,comppi_iid_l003,True,False,23.96,0.235,7.41,1.1,,,0.031,0.4,RESULT: SUCCESS (status=4)
open,13,comppi_iid_nolimit,True,False,27.06,0.242,7.36,1.1,,,0.0178,0.32,RESULT: SUCCESS (status=4)
open,13,comppi_iid_amax1,True,False,23.56,0.247,7.35,1.1,,,0.0097,0.351,RESULT: SUCCESS (status=4)
