world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
open,12,comppi_b2,True,False,23.66,0.244,7.36,1.1,0.0147,0.387,RESULT: SUCCESS (status=4)
open,12,comppi_b4,True,False,21.36,0.245,7.36,1.1,0.0115,0.393,RESULT: SUCCESS (status=4)
open,12,comppi_b16,True,False,28.16,0.249,7.35,1.1,0.0076,0.398,RESULT: SUCCESS (status=4)
open,12,comppi_b32,True,False,21.86,0.248,7.35,1.1,0.0075,0.399,RESULT: SUCCESS (status=4)
open,13,comppi_b2,True,False,23.86,0.25,7.35,1.1,0.0144,0.383,RESULT: SUCCESS (status=4)
open,13,comppi_b4,True,False,21.46,0.238,7.37,1.1,0.0106,0.391,RESULT: SUCCESS (status=4)
open,13,comppi_b16,False,False,29.56,0.256,7.34,1.1,0.0077,0.398,RESULT: FAILURE (status=6)
open,13,comppi_b32,True,False,21.86,0.249,7.35,1.1,0.0077,0.399,RESULT: SUCCESS (status=4)
open,14,comppi_b2,True,False,24.16,0.249,7.36,1.1,0.015,0.383,RESULT: SUCCESS (status=4)
open,14,comppi_b4,True,False,21.36,0.24,7.36,1.1,0.0102,0.394,RESULT: SUCCESS (status=4)
open,14,comppi_b16,False,False,29.66,0.267,7.33,1.1,0.0079,0.398,RESULT: FAILURE (status=6)
open,14,comppi_b32,True,False,21.86,0.249,7.35,1.1,0.0079,0.399,RESULT: SUCCESS (status=4)
blocked,0,comppi_b2,False,False,19.76,5.311,2.32,0.25,0.0073,0.392,RESULT: FAILURE (status=6)
blocked,0,comppi_b4,True,False,22.06,0.246,7.83,0.25,0.0116,0.4,RESULT: SUCCESS (status=4)
blocked,0,comppi_b16,False,False,29.26,0.254,7.58,0.269,0.008,0.4,RESULT: FAILURE (status=6)
blocked,0,comppi_b32,True,False,22.86,0.244,7.48,0.206,0.0102,0.4,RESULT: SUCCESS (status=4)
blocked,1,comppi_b2,False,False,16.56,6.173,1.43,0.25,0.0075,0.348,RESULT: FAILURE (status=6)
blocked,1,comppi_b4,True,False,21.46,0.247,7.59,0.292,0.011,0.4,RESULT: SUCCESS (status=4)
blocked,1,comppi_b16,False,False,29.46,0.257,7.57,0.292,0.0076,0.4,RESULT: FAILURE (status=6)
blocked,1,comppi_b32,True,False,22.66,0.246,7.5,0.206,0.009,0.4,RESULT: SUCCESS (status=4)
blocked,2,comppi_b2,False,False,23.16,3.973,3.93,0.25,0.0087,0.398,RESULT: FAILURE (status=6)
blocked,2,comppi_b4,True,False,21.46,0.243,7.61,0.292,0.0123,0.4,RESULT: SUCCESS (status=4)
blocked,2,comppi_b16,False,False,29.26,0.274,7.55,0.292,0.0078,0.4,RESULT: FAILURE (status=6)
blocked,2,comppi_b32,True,False,22.76,0.248,7.5,0.206,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked,3,comppi_b2,True,False,23.36,0.24,7.56,0.269,0.016,0.4,RESULT: SUCCESS (status=4)
