world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,7,comppi_iid_l030,False,False,9.96,7.291,0.31,1.1,,,0.0027,0.035,RESULT: FAILURE (status=6)
open,7,comppi_iid,False,False,9.96,7.302,0.3,1.1,,,0.0027,0.035,RESULT: FAILURE (status=6)
open,7,comppi_iid_l010,True,False,24.68,0.242,7.38,1.1,,,0.0265,0.4,RESULT: SUCCESS (status=4)
open,8,comppi_iid_l015,True,False,29.06,0.23,7.4,1.1,,,0.0235,0.399,RESULT: SUCCESS (status=4)
open,8,comppi_iid_l020,False,False,9.96,7.214,0.39,1.1,,,0.0044,0.052,RESULT: FAILURE (status=6)
open,8,comppi_iid_l025,False,False,9.96,7.263,0.34,1.1,,,0.0031,0.04,RESULT: FAILURE (status=6)
open,8,comppi_iid_l030,False,False,9.96,7.288,0.31,1.1,,,0.0031,0.036,RESULT: FAILURE (status=6)
open,8,comppi_iid,False,False,9.96,7.3,0.3,1.1,,,0.0026,0.034,RESULT: FAILURE (status=6)
open,8,comppi_iid_l010,True,False,23.06,0.229,7.39,1.1,,,0.0245,0.4,RESULT: SUCCESS (status=4)
open,9,comppi_iid_l015,True,False,24.76,0.246,7.37,1.1,,,0.0247,0.397,RESULT: SUCCESS (status=4)
open,9,comppi_iid_l020,False,False,9.96,7.225,0.38,1.1,,,0.0055,0.062,RESULT: FAILURE (status=6)
open,9,comppi_iid_l025,False,False,9.96,7.271,0.33,1.1,,,0.0031,0.039,RESULT: FAILURE (status=6)
open,9,comppi_iid_l030,False,False,9.96,7.289,0.31,1.1,,,0.0028,0.037,RESULT: FAILURE (status=6)
open,9,comppi_iid,False,False,9.96,7.304,0.3,1.1,,,0.0026,0.034,RESULT: FAILURE (status=6)
open,9,comppi_iid_l010,True,False,26.76,0.24,7.4,1.1,,,0.026,0.4,RESULT: SUCCESS (status=4)
open,10,comppi_iid_l015,True,False,30.66,0.235,7.38,1.1,,,0.0219,0.4,RESULT: SUCCESS (status=4)
open,10,comppi_iid_l020,False,False,9.96,7.184,0.42,1.1,,,0.0039,0.061,RESULT: FAILURE (status=6)
open,10,comppi_iid_l025,False,False,9.98,7.268,0.33,1.1,,,0.003,0.041,RESULT: FAILURE (status=6)
open,10,comppi_iid_l030,False,False,9.96,7.286,0.31,1.1,,,0.0029,0.036,RESULT: FAILURE (status=6)
open,10,comppi_iid,False,False,9.96,7.305,0.3,1.1,,,0.0026,0.035,RESULT: FAILURE (status=6)
open,10,comppi_iid_l010,True,False,24.26,0.235,7.39,1.1,,,0.026,0.4,RESULT: SUCCESS (status=4)
open,11,comppi_iid_l015,True,False,26.46,0.246,7.37,1.1,,,0.0233,0.397,RESULT: SUCCESS (status=4)
open,11,comppi_iid_l020,False,False,9.96,7.21,0.39,1.1,,,0.0038,0.052,RESULT: FAILURE (status=6)
open,11,comppi_iid_l025,False,False,9.98,7.259,0.34,1.1,,,0.0031,0.041,RESULT: FAILURE (status=6)
open,11,comppi_iid_l030,False,False,9.96,7.287,0.31,1.1,,,0.0027,0.037,RESULT: FAILURE (status=6)
open,11,comppi_iid,False,False,9.96,7.302,0.3,1.1,,,0.0027,0.034,RESULT: FAILURE (status=6)
open,11,comppi_iid_l010,True,False,25.06,0.232,7.39,1.1,,,0.0235,0.4,RESULT: SUCCESS (status=4)
open,12,comppi_iid_l015,True,False,26.26,0.244,7.37,1.1,,,0.0216,0.395,RESULT: SUCCESS (status=4)
open,12,comppi_iid_l020,False,False,9.96,7.221,0.38,1.1,,,0.0043,0.051,RESULT: FAILURE (status=6)
open,12,comppi_iid_l025,False,False,9.96,7.26,0.34,1.1,,,0.0033,0.04,RESULT: FAILURE (status=6)
