world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
blocked,14,comppi_dos4,True,False,21.16,0.244,7.5,0.3,,,0.0089,0.4,RESULT: SUCCESS (status=4)
blocked,15,comppi_dos2,True,False,20.76,0.245,7.49,0.269,,,0.0104,0.4,RESULT: SUCCESS (status=4)
blocked,15,comppi_dos4,True,False,20.76,0.245,7.5,0.3,,,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked,16,comppi_dos2,True,False,20.96,0.241,7.52,0.269,,,0.0098,0.4,RESULT: SUCCESS (status=4)
blocked,16,comppi_dos4,True,False,21.16,0.248,7.51,0.292,,,0.0085,0.4,RESULT: SUCCESS (status=4)
blocked,17,comppi_dos2,True,False,21.16,0.248,7.55,0.292,,,0.01,0.4,RESULT: SUCCESS (status=4)
blocked,17,comppi_dos4,True,False,20.96,0.244,7.55,0.292,,,0.0093,0.4,RESULT: SUCCESS (status=4)
blocked,18,comppi_dos2,True,False,21.16,0.246,7.53,0.3,,,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked,18,comppi_dos4,True,False,21.16,0.246,7.52,0.292,,,0.0083,0.4,RESULT: SUCCESS (status=4)
blocked,19,comppi_dos2,True,False,21.16,0.244,7.53,0.292,,,0.0079,0.4,RESULT: SUCCESS (status=4)
blocked,19,comppi_dos4,True,False,21.56,0.25,7.54,0.269,,,0.008,0.4,RESULT: SUCCESS (status=4)
blocked,20,comppi_dos2,True,False,21.16,0.249,7.48,0.269,,,0.0082,0.4,RESULT: SUCCESS (status=4)
blocked,20,comppi_dos4,True,False,21.06,0.248,7.48,0.269,,,0.0085,0.4,RESULT: SUCCESS (status=4)
blocked,21,comppi_dos2,True,False,20.76,0.248,7.53,0.269,,,0.01,0.4,RESULT: SUCCESS (status=4)
blocked,21,comppi_dos4,True,False,20.96,0.248,7.53,0.269,,,0.0108,0.4,RESULT: SUCCESS (status=4)
blocked,22,comppi_dos2,True,False,20.86,0.24,7.51,0.255,,,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked,22,comppi_dos4,True,False,22.16,0.248,7.54,0.3,,,0.0082,0.4,RESULT: SUCCESS (status=4)
blocked,23,comppi_dos2,True,False,21.16,0.244,7.52,0.3,,,0.0083,0.4,RESULT: SUCCESS (status=4)
blocked,23,comppi_dos4,True,False,21.76,0.247,7.54,0.292,,,0.0078,0.4,RESULT: SUCCESS (status=4)
blocked,24,comppi_dos2,True,False,21.08,0.243,7.5,0.269,,,0.0084,0.4,RESULT: SUCCESS (status=4)
blocked,24,comppi_dos4,True,False,21.26,0.249,7.48,0.269,,,0.0084,0.4,RESULT: SUCCESS (status=4)
