world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
blocked_off0,14,comppi_noanneal,False,False,19.06,5.44,2.2,0.3,0.0068,0.393,RESULT: FAILURE (status=6)
blocked_off5,0,comppi,True,False,20.86,0.25,7.52,0.269,0.0109,0.4,RESULT: SUCCESS (status=4)
blocked_off5,0,comppi_nodetour,False,False,27.16,3.973,3.63,0.3,0.0058,0.393,RESULT: FAILURE (status=6)
blocked_off5,0,comppi_noanneal,True,False,22.16,0.246,7.57,0.304,0.0082,0.397,RESULT: SUCCESS (status=4)
blocked_off5,1,comppi,True,False,21.06,0.24,7.52,0.269,0.0102,0.4,RESULT: SUCCESS (status=4)
blocked_off5,1,comppi_nodetour,False,False,20.86,3.806,3.8,0.35,0.0069,0.395,RESULT: FAILURE (status=6)
blocked_off5,1,comppi_noanneal,True,False,22.66,0.245,7.58,0.269,0.0087,0.397,RESULT: SUCCESS (status=4)
blocked_off5,2,comppi,True,False,20.76,0.249,7.51,0.255,0.0103,0.4,RESULT: SUCCESS (status=4)
blocked_off5,2,comppi_nodetour,False,False,27.06,2.94,4.66,0.3,0.0065,0.395,RESULT: FAILURE (status=6)
blocked_off5,2,comppi_noanneal,True,False,21.36,0.244,7.56,0.292,0.0094,0.396,RESULT: SUCCESS (status=4)
blocked_off5,3,comppi,True,False,20.86,0.247,7.52,0.25,0.0095,0.4,RESULT: SUCCESS (status=4)
blocked_off5,3,comppi_nodetour,False,False,21.96,3.165,4.44,0.35,0.0069,0.395,RESULT: FAILURE (status=6)
blocked_off5,3,comppi_noanneal,True,False,21.56,0.243,7.56,0.304,0.0089,0.397,RESULT: SUCCESS (status=4)
blocked_off5,4,comppi,True,False,21.36,0.245,7.52,0.255,0.0074,0.4,RESULT: SUCCESS (status=4)
blocked_off5,4,comppi_nodetour,False,False,18.06,4.713,2.89,0.35,0.007,0.394,RESULT: FAILURE (status=6)
blocked_off5,4,comppi_noanneal,True,False,21.66,0.245,7.56,0.3,0.0095,0.397,RESULT: SUCCESS (status=4)
blocked_off5,5,comppi,True,False,21.16,0.246,7.52,0.25,0.01,0.4,RESULT: SUCCESS (status=4)
blocked_off5,5,comppi_nodetour,False,False,20.76,3.811,3.79,0.35,0.0067,0.395,RESULT: FAILURE (status=6)
blocked_off5,5,comppi_noanneal,True,False,21.76,0.247,7.56,0.3,0.008,0.397,RESULT: SUCCESS (status=4)
blocked_off5,6,comppi,True,False,21.06,0.241,7.53,0.269,0.0088,0.4,RESULT: SUCCESS (status=4)
blocked_off5,6,comppi_nodetour,False,False,21.86,3.163,4.44,0.35,0.0066,0.394,RESULT: FAILURE (status=6)
blocked_off5,6,comppi_noanneal,True,False,21.36,0.24,7.56,0.3,0.01,0.397,RESULT: SUCCESS (status=4)
blocked_off5,7,comppi,True,False,20.86,0.242,7.53,0.255,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked_off5,7,comppi_nodetour,False,False,31.06,2.967,4.64,0.3,0.006,0.395,RESULT: FAILURE (status=6)
blocked_off5,7,comppi_noanneal,True,False,21.36,0.244,7.55,0.292,0.0098,0.396,RESULT: SUCCESS (status=4)
blocked_off5,8,comppi,True,False,21.06,0.249,7.5,0.25,0.0083,0.4,RESULT: SUCCESS (status=4)
blocked_off5,8,comppi_nodetour,False,False,17.66,5.402,2.2,0.35,0.0072,0.391,RESULT: FAILURE (status=6)
blocked_off5,8,comppi_noanneal,True,False,21.56,0.245,7.57,0.292,0.0089,0.396,RESULT: SUCCESS (status=4)
blocked_off5,9,comppi,True,False,21.46,0.248,7.52,0.269,0.0076,0.4,RESULT: SUCCESS (status=4)
blocked_off5,9,comppi_nodetour,False,False,17.66,4.568,3.03,0.35,0.0071,0.394,RESULT: FAILURE (status=6)
blocked_off5,9,comppi_noanneal,True,False,21.76,0.244,7.54,0.292,0.008,0.396,RESULT: SUCCESS (status=4)
blocked_off5,10,comppi,True,False,21.06,0.249,7.51,0.25,0.0089,0.4,RESULT: SUCCESS (status=4)
blocked_off5,10,comppi_nodetour,False,False,20.96,5.491,2.11,0.3,0.0065,0.393,RESULT: FAILURE (status=6)
blocked_off5,10,comppi_noanneal,True,False,21.36,0.249,7.55,0.292,0.0099,0.396,RESULT: SUCCESS (status=4)
blocked_off5,11,comppi,True,False,21.26,0.243,7.54,0.3,0.0084,0.4,RESULT: SUCCESS (status=4)
blocked_off5,11,comppi_nodetour,False,False,15.26,5.663,1.94,0.35,0.0074,0.393,RESULT: FAILURE (status=6)
blocked_off5,11,comppi_noanneal,True,False,21.76,0.248,7.56,0.304,0.0091,0.396,RESULT: SUCCESS (status=4)
blocked_off5,12,comppi,True,False,21.38,0.247,7.52,0.25,0.0077,0.4,RESULT: SUCCESS (status=4)
blocked_off5,12,comppi_nodetour,False,False,16.66,5.121,2.48,0.35,0.0069,0.393,RESULT: FAILURE (status=6)
blocked_off5,12,comppi_noanneal,True,False,21.66,0.249,7.56,0.292,0.008,0.396,RESULT: SUCCESS (status=4)
blocked_off5,13,comppi,True,False,20.96,0.249,7.51,0.292,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked_off5,13,comppi_nodetour,False,False,15.46,5.612,1.99,0.35,0.0071,0.394,RESULT: FAILURE (status=6)
blocked_off5,13,comppi_noanneal,True,False,21.76,0.249,7.55,0.3,0.0089,0.396,RESULT: SUCCESS (status=4)
blocked_off5,14,comppi,True,False,21.36,0.244,7.52,0.255,0.0081,0.4,RESULT: SUCCESS (status=4)
blocked_off5,14,comppi_nodetour,False,False,18.76,5.445,2.16,0.3,0.007,0.394,RESULT: FAILURE (status=6)
blocked_off5,14,comppi_noanneal,True,False,21.96,0.246,7.59,0.304,0.0079,0.397,RESULT: SUCCESS (status=4)
blocked_off10,0,comppi,True,False,20.96,0.245,7.48,0.25,0.0089,0.4,RESULT: SUCCESS (status=4)
blocked_off10,0,comppi_nodetour,False,False,28.76,3.968,3.63,0.3,0.0062,0.394,RESULT: FAILURE (status=6)
blocked_off10,0,comppi_noanneal,True,False,21.16,0.246,7.5,0.269,0.0097,0.396,RESULT: SUCCESS (status=4)
blocked_off10,1,comppi,True,False,21.16,0.247,7.51,0.3,0.0081,0.399,RESULT: SUCCESS (status=4)
blocked_off10,1,comppi_nodetour,False,False,20.56,3.807,3.79,0.35,0.007,0.395,RESULT: FAILURE (status=6)
blocked_off10,1,comppi_noanneal,True,False,21.06,0.25,7.51,0.3,0.0105,0.397,RESULT: SUCCESS (status=4)
blocked_off10,2,comppi,True,False,20.96,0.244,7.49,0.292,0.0086,0.4,RESULT: SUCCESS (status=4)
blocked_off10,2,comppi_nodetour,False,False,26.06,2.941,4.66,0.3,0.0065,0.396,RESULT: FAILURE (status=6)
blocked_off10,2,comppi_noanneal,True,False,20.98,0.245,7.52,0.3,0.0123,0.396,RESULT: SUCCESS (status=4)
blocked_off10,3,comppi,True,False,21.06,0.244,7.48,0.269,0.0078,0.4,RESULT: SUCCESS (status=4)
blocked_off10,3,comppi_nodetour,False,False,21.76,3.163,4.44,0.35,0.0069,0.395,RESULT: FAILURE (status=6)
blocked_off10,3,comppi_noanneal,True,False,20.96,0.248,7.5,0.292,0.0101,0.396,RESULT: SUCCESS (status=4)
blocked_off10,4,comppi,True,False,20.86,0.247,7.5,0.3,0.01,0.4,RESULT: SUCCESS (status=4)
blocked_off10,4,comppi_nodetour,False,False,17.96,4.714,2.89,0.35,0.007,0.395,RESULT: FAILURE (status=6)
blocked_off10,4,comppi_noanneal,True,False,21.68,0.244,7.51,0.3,0.0081,0.395,RESULT: SUCCESS (status=4)
blocked_off10,5,comppi,True,False,21.06,0.244,7.49,0.292,0.0081,0.4,RESULT: SUCCESS (status=4)
blocked_off10,5,comppi_nodetour,False,False,20.86,3.807,3.79,0.35,0.0068,0.395,RESULT: FAILURE (status=6)
blocked_off10,5,comppi_noanneal,True,False,22.26,0.249,7.5,0.292,0.0078,0.397,RESULT: SUCCESS (status=4)
blocked_off10,6,comppi,True,False,20.86,0.247,7.49,0.269,0.0088,0.4,RESULT: SUCCESS (status=4)
blocked_off10,6,comppi_nodetour,False,False,21.86,3.167,4.43,0.35,0.0069,0.395,RESULT: FAILURE (status=6)
blocked_off10,6,comppi_noanneal,True,False,21.06,0.244,7.51,0.304,0.0099,0.396,RESULT: SUCCESS (status=4)
blocked_off10,7,comppi,True,False,20.76,0.241,7.49,0.269,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked_off10,7,comppi_nodetour,False,False,29.86,2.972,4.63,0.3,0.0064,0.395,RESULT: FAILURE (status=6)
blocked_off10,7,comppi_noanneal,True,False,21.66,0.246,7.52,0.304,0.008,0.395,RESULT: SUCCESS (status=4)
