world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,10,comppi_iid_cnorm,True,False,26.46,0.25,7.36,1.1,,,0.0146,0.36,RESULT: SUCCESS (status=4)
open,11,comppi_iid_ess05,False,False,9.96,7.159,0.44,1.1,,,0.0042,0.06,RESULT: FAILURE (status=6)
open,11,comppi_iid_ess10,False,False,9.96,7.174,0.43,1.1,,,0.004,0.056,RESULT: FAILURE (status=6)
open,11,comppi_iid_ess20,False,False,9.96,7.251,0.35,1.1,,,0.0033,0.042,RESULT: FAILURE (status=6)
open,11,comppi_iid_cnorm,True,False,28.86,0.229,7.4,1.1,,,0.0187,0.385,RESULT: SUCCESS (status=4)
open,12,comppi_iid_ess05,False,False,9.96,7.137,0.46,1.1,,,0.0051,0.07,RESULT: FAILURE (status=6)
open,12,comppi_iid_ess10,False,False,9.96,7.2,0.4,1.1,,,0.0038,0.05,RESULT: FAILURE (status=6)
open,12,comppi_iid_ess20,False,False,9.96,7.253,0.35,1.1,,,0.0034,0.043,RESULT: FAILURE (status=6)
open,12,comppi_iid_cnorm,True,False,25.96,0.231,7.38,1.1,,,0.0168,0.386,RESULT: SUCCESS (status=4)
open,13,comppi_iid_ess05,False,False,9.96,7.162,0.44,1.1,,,0.005,0.062,RESULT: FAILURE (status=6)
open,13,comppi_iid_ess10,False,False,9.96,7.2,0.4,1.1,,,0.0036,0.058,RESULT: FAILURE (status=6)
open,13,comppi_iid_ess20,False,False,9.96,7.253,0.35,1.1,,,0.0035,0.041,RESULT: FAILURE (status=6)
open,13,comppi_iid_cnorm,True,False,27.26,0.229,7.39,1.1,,,0.0168,0.361,RESULT: SUCCESS (status=4)
open,14,comppi_iid_ess05,False,False,9.96,7.161,0.44,1.1,,,0.0049,0.069,RESULT: FAILURE (status=6)
open,14,comppi_iid_ess10,False,False,9.96,7.181,0.42,1.1,,,0.0042,0.052,RESULT: FAILURE (status=6)
open,14,comppi_iid_ess20,False,False,9.96,7.253,0.35,1.1,,,0.0036,0.041,RESULT: FAILURE (status=6)
open,14,comppi_iid_cnorm,True,False,28.86,0.234,7.38,1.1,,,0.0189,0.38,RESULT: SUCCESS (status=4)
gap,0,comppi_iid_ess05,False,False,9.96,7.177,0.44,1.1,,,0.0053,0.065,RESULT: FAILURE (status=6)
gap,0,comppi_iid_ess10,False,False,9.96,7.212,0.4,1.1,,,0.004,0.05,RESULT: FAILURE (status=6)
gap,0,comppi_iid_ess20,False,False,9.96,7.251,0.36,1.1,,,0.0036,0.046,RESULT: FAILURE (status=6)
gap,0,comppi_iid_cnorm,False,False,24.06,4.277,3.53,0.316,,,0.017,0.359,RESULT: FAILURE (status=6)
