world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
blocked,14,mppi_t01,True,False,25.56,0.243,7.76,0.25,,,0.0199,0.413,RESULT: SUCCESS (status=4)
clutter,0,mppi_align001,True,False,20.86,0.249,7.74,0.25,,,0.0149,0.405,RESULT: SUCCESS (status=4)
clutter,0,mppi_align001_t01,True,False,20.36,0.242,7.75,0.25,,,0.0179,0.406,RESULT: SUCCESS (status=4)
clutter,0,mppi_t01,True,False,20.36,0.242,7.75,0.25,,,0.0179,0.406,RESULT: SUCCESS (status=4)
clutter,1,mppi_align001,True,False,19.26,0.245,7.37,0.3,,,0.0146,0.403,RESULT: SUCCESS (status=4)
clutter,1,mppi_align001_t01,True,False,19.08,0.235,7.38,0.292,,,0.0163,0.407,RESULT: SUCCESS (status=4)
clutter,1,mppi_t01,True,False,19.06,0.241,7.37,0.3,,,0.0162,0.407,RESULT: SUCCESS (status=4)
clutter,2,mppi_align001,True,False,19.16,0.247,7.35,0.5,,,0.015,0.404,RESULT: SUCCESS (status=4)
clutter,2,mppi_align001_t01,True,False,18.98,0.243,7.36,0.5,,,0.0171,0.409,RESULT: SUCCESS (status=4)
clutter,2,mppi_t01,True,False,18.96,0.245,7.36,0.5,,,0.0174,0.407,RESULT: SUCCESS (status=4)
clutter,3,mppi_align001,True,False,19.16,0.245,7.36,0.3,,,0.015,0.403,RESULT: SUCCESS (status=4)
clutter,3,mppi_align001_t01,True,False,18.96,0.247,7.35,0.3,,,0.0186,0.409,RESULT: SUCCESS (status=4)
clutter,3,mppi_t01,True,False,18.96,0.247,7.35,0.3,,,0.0173,0.409,RESULT: SUCCESS (status=4)
clutter,4,mppi_align001,True,False,19.66,0.236,7.47,0.269,,,0.0142,0.403,RESULT: SUCCESS (status=4)
clutter,4,mppi_align001_t01,True,False,19.36,0.235,7.47,0.269,,,0.0165,0.407,RESULT: SUCCESS (status=4)
clutter,4,mppi_t01,True,False,19.36,0.235,7.47,0.269,,,0.0164,0.407,RESULT: SUCCESS (status=4)
clutter,5,mppi_align001,True,False,19.36,0.24,7.42,0.3,,,0.0143,0.403,RESULT: SUCCESS (status=4)
clutter,5,mppi_align001_t01,True,False,19.16,0.243,7.42,0.3,,,0.0181,0.409,RESULT: SUCCESS (status=4)
clutter,5,mppi_t01,True,False,19.16,0.243,7.42,0.3,,,0.0168,0.409,RESULT: SUCCESS (status=4)
clutter,6,mppi_align001,True,False,19.16,0.246,7.35,0.65,,,0.015,0.403,RESULT: SUCCESS (status=4)
clutter,6,mppi_align001_t01,True,False,18.96,0.245,7.36,0.6,,,0.0173,0.409,RESULT: SUCCESS (status=4)
clutter,6,mppi_t01,True,False,18.96,0.244,7.36,0.6,,,0.0173,0.409,RESULT: SUCCESS (status=4)
clutter,7,mppi_align001,True,False,19.16,0.246,7.35,0.9,,,0.0151,0.403,RESULT: SUCCESS (status=4)
clutter,7,mppi_align001_t01,True,False,18.96,0.245,7.36,0.95,,,0.0172,0.409,RESULT: SUCCESS (status=4)
clutter,7,mppi_t01,True,False,18.96,0.244,7.36,0.95,,,0.0187,0.409,RESULT: SUCCESS (status=4)
clutter,8,mppi_align001,True,False,19.16,0.235,7.37,0.35,,,0.0148,0.403,RESULT: SUCCESS (status=4)
clutter,8,mppi_align001_t01,True,False,18.96,0.234,7.37,0.35,,,0.0169,0.409,RESULT: SUCCESS (status=4)
clutter,8,mppi_t01,True,False,18.96,0.235,7.37,0.35,,,0.0185,0.409,RESULT: SUCCESS (status=4)
clutter,9,mppi_align001,True,False,19.16,0.246,7.35,0.85,,,0.015,0.403,RESULT: SUCCESS (status=4)
clutter,9,mppi_align001_t01,True,False,18.96,0.244,7.36,0.8,,,0.0173,0.409,RESULT: SUCCESS (status=4)
clutter,9,mppi_t01,True,False,18.96,0.244,7.36,0.8,,,0.0173,0.409,RESULT: SUCCESS (status=4)
clutter,10,mppi_align001,True,False,19.16,0.246,7.35,0.65,,,0.015,0.403,RESULT: SUCCESS (status=4)
clutter,10,mppi_align001_t01,True,False,18.96,0.245,7.36,0.65,,,0.0187,0.409,RESULT: SUCCESS (status=4)
clutter,10,mppi_t01,True,False,18.96,0.245,7.36,0.65,,,0.0172,0.409,RESULT: SUCCESS (status=4)
clutter,11,mppi_align001,True,False,19.28,0.245,7.41,0.3,,,0.0151,0.404,RESULT: SUCCESS (status=4)
clutter,11,mppi_align001_t01,True,False,19.16,0.237,7.41,0.3,,,0.0174,0.409,RESULT: SUCCESS (status=4)
