t,t_abs,bx,by,moving
30.432,1788740344.109,4.610,6.504,0
30.632,1788740344.309,4.610,6.504,0
30.832,1788740344.509,4.610,6.504,0
31.032,1788740344.709,4.610,6.504,0
31.232,1788740344.909,4.610,6.504,0
31.432,1788740345.109,4.610,6.504,0
31.632,1788740345.309,4.610,6.504,0
31.832,1788740345.509,4.610,6.504,0
32.032,1788740345.709,4.610,6.504,0
32.232,1788740345.909,4.610,6.504,0
32.433,1788740346.110,4.610,6.504,0
32.632,1788740346.309,4.610,6.504,0
32.833,1788740346.510,4.610,6.504,0
33.033,1788740346.710,4.610,6.504,0
33.232,1788740346.909,4.610,6.504,0
33.432,1788740347.109,4.610,6.504,0
33.632,1788740347.309,4.610,6.504,0
33.832,1788740347.509,4.610,6.504,0
34.032,1788740347.709,4.610,6.504,0
34.232,1788740347.909,4.610,6.504,0
34.432,1788740348.109,4.610,6.504,0
34.632,1788740348.309,4.610,6.504,0
34.832,1788740348.509,4.610,6.504,0
35.032,1788740348.709,4.610,6.504,0
35.232,1788740348.909,4.610,6.504,0
35.432,1788740349.109,4.610,6.504,0
35.632,1788740349.309,4.610,6.504,0
35.832,1788740349.509,4.610,6.504,0
36.031,1788740349.709,4.610,6.504,0
36.232,1788740349.909,4.610,6.504,0
36.432,1788740350.109,4.610,6.504,0
