1022.66,0
1022.62,0
1022.59,0
1022.57,0
1022.55,0
1022.53,0
1022.52,0
1022.5,0
1022.49,0
1022.48,0
1022.47,0
1022.45,0
1022.44,0
1022.43,0
1022.41,0
1022.4,0
1022.38,0
1022.37,0
1022.36,0
1022.34,0
1022.33,0
1022.32,0
1022.3,0
1022.29,0
1022.27,0
1022.26,0
1022.24,0
1022.22,0
1022.2,0
1022.19,0
1022.17,0
1022.15,0
1022.13,0
1022.12,0
1022.1,0
1022.08,0
1022.07,0
1022.05,0
1022.03,0
1022.01,0
1022,0
1021.98,0
1021.97,0
1021.95,0
1021.94,0
1021.92,0
1021.9,0
1021.88,0
1021.86,0
1021.84,0
1021.82,0
1021.79,0
1021.76,0
1021.74,0
1021.71,0
1021.69,0
1021.66,0
1021.62,0
1021.58,0
1021.54,0
1021.49,0
1021.44,0
1021.39,0
1021.34,0
1021.28,0
1021.22,0
1021.16,0
1021.1,0
1021.03,0
1020.97,0
1020.9,0
1020.84,0
1020.77,0
1007,0
1007.71,0
1008.66,0
1009.56,0
1010.4,0
1012.66,0
1013.72,0
1014.62,0
1015.78,0
1016.59,0
1017.46,0
1018.26,0
1018.98,0
1019.61,0
1020.16,0
1020.64,0
1021.04,0
1021.36,0
1021.65,0
1021.81,0
1021.95,0
1022.01,0
1022.03,0
1022,0
1021.92,0
1021.78,0
1021.75,0
