t,t_abs,bx,by,moving
30.431,1788739447.658,5.587,3.470,0
30.631,1788739447.858,5.587,3.470,0
30.831,1788739448.058,5.587,3.470,0
31.031,1788739448.258,5.587,3.470,0
31.231,1788739448.458,5.587,3.470,0
31.431,1788739448.658,5.587,3.470,0
31.631,1788739448.858,5.587,3.470,0
31.831,1788739449.058,5.587,3.470,0
32.031,1788739449.258,5.587,3.470,0
32.231,1788739449.458,5.587,3.470,0
32.431,1788739449.658,5.587,3.470,0
32.631,1788739449.858,5.587,3.470,0
32.831,1788739450.058,5.587,3.470,0
