t,t_abs,bx,by,moving
0.232,1788738676.867,5.322,6.500,0
0.432,1788738677.066,5.322,6.500,0
0.632,1788738677.267,5.322,6.500,0
0.832,1788738677.467,5.322,6.500,0
1.032,1788738677.667,5.322,6.500,0
1.232,1788738677.867,5.322,6.500,0
1.432,1788738678.067,5.322,6.500,0
1.631,1788738678.266,5.322,6.500,0
1.832,1788738678.466,5.322,6.500,0
2.032,1788738678.666,5.322,6.500,0
2.232,1788738678.866,5.322,6.500,0
2.432,1788738679.066,5.322,6.500,0
2.632,1788738679.267,5.322,6.500,0
2.832,1788738679.467,5.322,6.500,0
3.032,1788738679.667,5.322,6.500,0
3.231,1788738679.866,5.322,6.500,0
3.432,1788738680.066,5.322,6.500,0
3.632,1788738680.266,5.322,6.500,0
3.832,1788738680.467,5.322,6.500,0
4.032,1788738680.666,5.322,6.500,0
4.232,1788738680.866,5.322,6.500,0
4.432,1788738681.066,5.322,6.500,0
4.633,1788738681.268,5.322,6.500,0
4.832,1788738681.467,5.322,6.500,0
5.032,1788738681.667,5.322,6.500,0
5.232,1788738681.867,5.322,6.500,0
5.432,1788738682.066,5.322,6.500,0
5.632,1788738682.266,5.322,6.500,0
5.832,1788738682.467,5.322,6.500,0
6.032,1788738682.667,5.322,6.500,0
6.232,1788738682.866,5.322,6.500,0
6.432,1788738683.066,5.322,6.500,0
6.632,1788738683.266,5.322,6.500,0
6.832,1788738683.467,5.322,6.500,0
7.032,1788738683.667,5.322,6.500,0
7.232,1788738683.866,5.322,6.500,0
7.432,1788738684.067,5.322,6.500,0
7.632,1788738684.266,5.322,6.500,0
7.833,1788738684.468,5.322,6.500,0
8.032,1788738684.667,5.322,6.500,0
8.232,1788738684.866,5.322,6.500,0
8.433,1788738685.068,5.322,6.500,0
8.632,1788738685.267,5.322,6.500,0
8.832,1788738685.466,5.322,6.500,0
9.032,1788738685.666,5.322,6.500,0
9.232,1788738685.867,5.322,6.500,0
9.431,1788738686.066,5.322,6.500,0
9.631,1788738686.266,5.322,6.500,0
9.832,1788738686.466,5.322,6.500,0
10.032,1788738686.667,5.322,6.500,0
10.232,1788738686.866,5.322,6.500,0
10.431,1788738687.066,5.322,6.500,0
10.632,1788738687.266,5.322,6.500,0
10.832,1788738687.466,5.322,6.500,0
11.031,1788738687.666,5.322,6.500,0
11.232,1788738687.866,5.322,6.500,0
11.432,1788738688.067,5.322,6.500,0
11.632,1788738688.267,5.322,6.500,0
11.832,1788738688.466,5.322,6.500,0
12.032,1788738688.667,5.322,6.500,0
12.232,1788738688.867,5.322,6.500,0
12.433,1788738689.068,5.322,6.500,0
12.632,1788738689.267,5.322,6.500,0
12.832,1788738689.466,5.322,6.500,0
13.032,1788738689.666,5.322,6.500,0
13.232,1788738689.867,5.322,6.500,0
13.432,1788738690.067,5.322,6.500,0
13.632,1788738690.266,5.322,6.500,0
13.832,1788738690.466,5.322,6.500,0
14.032,1788738690.666,5.322,6.500,0
14.231,1788738690.866,5.322,6.500,0
14.432,1788738691.067,5.322,6.500,0
14.632,1788738691.266,5.322,6.500,0
14.832,1788738691.467,5.322,6.440,1
15.032,1788738691.667,5.322,6.380,1
15.232,1788738691.866,5.322,6.320,1
15.432,1788738692.066,5.322,6.260,1
15.633,1788738692.268,5.322,6.200,1
15.832,1788738692.467,5.322,6.140,1
16.032,1788738692.666,5.322,6.080,1
16.232,1788738692.866,5.322,6.020,1
16.432,1788738693.067,5.322,5.960,1
16.631,1788738693.266,5.322,5.900,1
16.832,1788738693.466,5.322,5.840,1
17.032,1788738693.667,5.322,5.780,1
17.232,1788738693.866,5.322,5.720,1
17.433,1788738694.068,5.322,5.660,1
17.633,1788738694.268,5.322,5.600,1
17.833,1788738694.468,5.322,5.540,1
18.033,1788738694.668,5.322,5.480,1
18.233,1788738694.868,5.322,5.420,1
18.433,1788738695.068,5.322,5.360,1
