t,t_abs,bx,by,moving
0.232,1788738571.113,5.467,3.500,0
0.432,1788738571.312,5.467,3.500,0
0.632,1788738571.512,5.467,3.500,0
0.832,1788738571.712,5.467,3.500,0
1.032,1788738571.912,5.467,3.500,0
1.232,1788738572.112,5.467,3.500,0
1.432,1788738572.312,5.467,3.500,0
1.632,1788738572.512,5.467,3.500,0
1.832,1788738572.712,5.467,3.500,0
2.032,1788738572.912,5.467,3.500,0
2.232,1788738573.112,5.467,3.500,0
2.432,1788738573.312,5.467,3.500,0
2.632,1788738573.512,5.467,3.500,0
2.832,1788738573.712,5.467,3.500,0
3.031,1788738573.912,5.467,3.500,0
3.232,1788738574.112,5.467,3.500,0
3.432,1788738574.312,5.467,3.500,0
3.632,1788738574.512,5.467,3.500,0
3.832,1788738574.712,5.467,3.500,0
4.032,1788738574.912,5.467,3.500,0
4.232,1788738575.112,5.467,3.500,0
4.432,1788738575.312,5.467,3.500,0
4.632,1788738575.512,5.467,3.500,0
4.832,1788738575.712,5.467,3.500,0
5.032,1788738575.912,5.467,3.500,0
5.232,1788738576.112,5.467,3.500,0
5.432,1788738576.312,5.467,3.500,0
5.632,1788738576.512,5.467,3.500,0
5.832,1788738576.712,5.467,3.500,0
6.032,1788738576.912,5.467,3.500,0
6.233,1788738577.114,5.467,3.500,0
6.432,1788738577.312,5.467,3.500,0
6.632,1788738577.512,5.467,3.500,0
6.832,1788738577.712,5.467,3.500,0
7.032,1788738577.912,5.467,3.500,0
7.232,1788738578.112,5.467,3.500,0
7.432,1788738578.312,5.467,3.500,0
7.632,1788738578.512,5.467,3.500,0
7.832,1788738578.712,5.467,3.500,0
8.032,1788738578.912,5.467,3.500,0
8.232,1788738579.112,5.467,3.500,0
8.432,1788738579.312,5.467,3.500,0
8.632,1788738579.512,5.467,3.500,0
8.832,1788738579.712,5.467,3.500,0
9.032,1788738579.912,5.467,3.500,0
9.233,1788738580.114,5.467,3.500,0
9.432,1788738580.312,5.467,3.500,0
9.632,1788738580.512,5.467,3.500,0
9.832,1788738580.712,5.467,3.500,0
10.032,1788738580.912,5.467,3.500,0
10.232,1788738581.112,5.467,3.500,0
10.432,1788738581.312,5.467,3.500,0
10.632,1788738581.512,5.467,3.500,0
10.832,1788738581.712,5.467,3.500,0
11.032,1788738581.912,5.467,3.500,0
11.232,1788738582.112,5.467,3.500,0
11.433,1788738582.314,5.467,3.500,0
11.632,1788738582.512,5.467,3.500,0
11.832,1788738582.712,5.467,3.500,0
12.032,1788738582.912,5.467,3.500,0
12.232,1788738583.112,5.467,3.500,0
12.432,1788738583.312,5.467,3.500,0
12.632,1788738583.512,5.467,3.500,0
12.832,1788738583.712,5.467,3.500,0
13.032,1788738583.912,5.467,3.500,0
13.232,1788738584.113,5.467,3.500,0
13.432,1788738584.312,5.467,3.556,1
13.632,1788738584.512,5.467,3.612,1
13.832,1788738584.712,5.467,3.668,1
14.032,1788738584.912,5.467,3.724,1
14.232,1788738585.112,5.467,3.780,1
14.432,1788738585.312,5.467,3.836,1
14.632,1788738585.512,5.467,3.892,1
14.832,1788738585.712,5.467,3.948,1
15.032,1788738585.912,5.467,4.004,1
15.232,1788738586.112,5.467,4.060,1
15.433,1788738586.314,5.467,4.116,1
15.632,1788738586.512,5.467,4.172,1
15.832,1788738586.712,5.467,4.228,1
16.032,1788738586.912,5.467,4.284,1
16.232,1788738587.112,5.467,4.340,1
16.432,1788738587.312,5.467,4.396,1
16.632,1788738587.512,5.467,4.452,1
16.832,1788738587.712,5.467,4.508,1
17.032,1788738587.912,5.467,4.564,1
17.232,1788738588.112,5.467,4.620,1
17.432,1788738588.312,5.467,4.676,1
17.632,1788738588.512,5.467,4.732,1
17.832,1788738588.712,5.467,4.788,1
18.032,1788738588.912,5.467,4.844,1
18.232,1788738589.112,5.467,4.900,1
18.432,1788738589.312,5.467,4.956,1
18.632,1788738589.512,5.467,5.012,1
18.832,1788738589.712,5.467,5.068,1
19.032,1788738589.912,5.467,5.124,1
19.232,1788738590.112,5.467,5.180,1
19.432,1788738590.312,5.467,5.236,1
19.632,1788738590.512,5.467,5.292,1
19.832,1788738590.712,5.467,5.348,1
20.032,1788738590.912,5.467,5.404,1
20.232,1788738591.112,5.467,5.460,1
20.432,1788738591.312,5.467,5.516,1
20.632,1788738591.512,5.467,5.572,1
20.832,1788738591.712,5.467,5.628,1
21.032,1788738591.912,5.467,5.684,1
21.232,1788738592.112,5.467,5.740,1
21.432,1788738592.312,5.467,5.796,1
21.632,1788738592.512,5.467,5.852,1
21.832,1788738592.712,5.467,5.908,1
22.032,1788738592.912,5.467,5.964,1
22.232,1788738593.112,5.467,6.020,1
22.432,1788738593.312,5.467,6.076,1
22.632,1788738593.512,5.467,6.132,1
22.832,1788738593.712,5.467,6.188,1
23.032,1788738593.912,5.467,6.244,1
23.232,1788738594.112,5.467,6.300,1
23.432,1788738594.312,5.467,6.356,1
23.632,1788738594.512,5.467,6.412,1
23.832,1788738594.712,5.467,6.468,1
24.032,1788738594.912,5.467,6.524,0
24.232,1788738595.112,5.467,6.524,0
24.432,1788738595.312,5.467,6.524,0
24.632,1788738595.512,5.467,6.524,0
24.832,1788738595.712,5.467,6.524,0
25.032,1788738595.912,5.467,6.524,0
25.232,1788738596.112,5.467,6.524,0
25.432,1788738596.312,5.467,6.524,0
25.632,1788738596.512,5.467,6.524,0
25.832,1788738596.712,5.467,6.524,0
26.032,1788738596.912,5.467,6.524,0
26.232,1788738597.112,5.467,6.524,0
26.432,1788738597.312,5.467,6.524,0
26.632,1788738597.512,5.467,6.524,0
26.832,1788738597.712,5.467,6.524,0
27.032,1788738597.912,5.467,6.524,0
27.232,1788738598.112,5.467,6.524,0
27.432,1788738598.312,5.467,6.524,0
27.632,1788738598.512,5.467,6.524,0
27.832,1788738598.712,5.467,6.524,0
28.032,1788738598.912,5.467,6.524,0
28.232,1788738599.112,5.467,6.524,0
28.433,1788738599.314,5.467,6.524,0
28.633,1788738599.514,5.467,6.524,0
28.832,1788738599.712,5.467,6.524,0
29.032,1788738599.912,5.467,6.524,0
29.232,1788738600.112,5.467,6.524,0
29.432,1788738600.312,5.467,6.524,0
29.632,1788738600.512,5.467,6.524,0
29.832,1788738600.712,5.467,6.524,0
30.032,1788738600.912,5.467,6.524,0
30.232,1788738601.112,5.467,6.524,0
30.432,1788738601.312,5.467,6.524,0
30.632,1788738601.512,5.467,6.524,0
30.832,1788738601.712,5.467,6.524,0
31.032,1788738601.912,5.467,6.524,0
31.232,1788738602.112,5.467,6.524,0
31.432,1788738602.312,5.467,6.524,0
31.632,1788738602.512,5.467,6.524,0
31.832,1788738602.712,5.467,6.524,0
32.032,1788738602.912,5.467,6.524,0
32.232,1788738603.112,5.467,6.524,0
32.432,1788738603.312,5.467,6.524,0
32.632,1788738603.512,5.467,6.524,0
32.832,1788738603.712,5.467,6.524,0
33.032,1788738603.912,5.467,6.524,0
