t,t_abs,bx,by,moving
0.232,1788739130.570,4.842,3.500,0
0.432,1788739130.770,4.842,3.500,0
0.632,1788739130.970,4.842,3.500,0
0.832,1788739131.170,4.842,3.500,0
1.032,1788739131.370,4.842,3.500,0
1.233,1788739131.571,4.842,3.500,0
1.432,1788739131.770,4.842,3.500,0
1.632,1788739131.970,4.842,3.500,0
1.832,1788739132.170,4.842,3.500,0
2.033,1788739132.371,4.842,3.500,0
2.233,1788739132.571,4.842,3.500,0
2.432,1788739132.770,4.842,3.500,0
2.632,1788739132.970,4.842,3.500,0
2.832,1788739133.170,4.842,3.500,0
3.032,1788739133.370,4.842,3.500,0
3.232,1788739133.570,4.842,3.500,0
3.432,1788739133.770,4.842,3.500,0
3.632,1788739133.970,4.842,3.500,0
3.832,1788739134.170,4.842,3.500,0
4.032,1788739134.370,4.842,3.500,0
4.232,1788739134.570,4.842,3.500,0
4.432,1788739134.770,4.842,3.500,0
4.632,1788739134.970,4.842,3.500,0
4.832,1788739135.170,4.842,3.500,0
5.033,1788739135.371,4.842,3.500,0
5.232,1788739135.570,4.842,3.500,0
5.432,1788739135.770,4.842,3.500,0
5.632,1788739135.970,4.842,3.500,0
5.832,1788739136.170,4.842,3.500,0
6.032,1788739136.370,4.842,3.500,0
6.231,1788739136.570,4.842,3.500,0
6.432,1788739136.770,4.842,3.500,0
6.632,1788739136.970,4.842,3.500,0
6.832,1788739137.170,4.842,3.500,0
7.033,1788739137.371,4.842,3.500,0
7.233,1788739137.571,4.842,3.500,0
7.433,1788739137.771,4.842,3.500,0
7.633,1788739137.971,4.842,3.500,0
7.833,1788739138.171,4.842,3.500,0
8.032,1788739138.370,4.842,3.500,0
8.232,1788739138.570,4.842,3.500,0
8.432,1788739138.770,4.842,3.500,0
8.632,1788739138.970,4.842,3.500,0
8.832,1788739139.170,4.842,3.500,0
9.032,1788739139.370,4.842,3.500,0
9.232,1788739139.570,4.842,3.500,0
9.432,1788739139.770,4.842,3.500,0
9.632,1788739139.970,4.842,3.500,0
9.832,1788739140.170,4.842,3.500,0
10.032,1788739140.370,4.842,3.500,0
10.232,1788739140.570,4.842,3.500,0
10.432,1788739140.770,4.842,3.500,0
10.632,1788739140.970,4.842,3.500,0
10.832,1788739141.170,4.842,3.500,0
11.032,1788739141.370,4.842,3.500,0
11.233,1788739141.571,4.842,3.500,0
11.433,1788739141.771,4.842,3.500,0
11.632,1788739141.970,4.842,3.500,0
11.832,1788739142.170,4.842,3.500,0
12.032,1788739142.370,4.842,3.500,0
12.232,1788739142.570,4.842,3.500,0
12.432,1788739142.770,4.842,3.500,0
12.632,1788739142.970,4.842,3.500,0
12.833,1788739143.171,4.842,3.500,0
13.032,1788739143.370,4.842,3.500,0
13.233,1788739143.571,4.842,3.500,0
13.433,1788739143.771,4.842,3.500,0
13.633,1788739143.971,4.842,3.500,0
13.833,1788739144.171,4.842,3.500,0
14.032,1788739144.370,4.842,3.500,0
14.232,1788739144.570,4.842,3.560,1
14.432,1788739144.770,4.842,3.620,1
14.632,1788739144.970,4.842,3.681,1
14.832,1788739145.170,4.842,3.741,1
15.032,1788739145.370,4.842,3.801,1
15.232,1788739145.570,4.842,3.861,1
15.432,1788739145.770,4.842,3.921,1
15.632,1788739145.970,4.842,3.982,1
15.832,1788739146.170,4.842,4.042,1
16.032,1788739146.370,4.842,4.102,1
16.232,1788739146.570,4.842,4.162,1
16.432,1788739146.770,4.842,4.222,1
16.632,1788739146.970,4.842,4.283,1
16.832,1788739147.170,4.842,4.343,1
17.032,1788739147.370,4.842,4.403,1
17.232,1788739147.570,4.842,4.463,1
17.432,1788739147.770,4.842,4.523,1
17.632,1788739147.970,4.842,4.584,1
17.832,1788739148.170,4.842,4.644,1
18.032,1788739148.370,4.842,4.704,1
18.233,1788739148.571,4.842,4.764,1
18.433,1788739148.771,4.842,4.824,1
18.633,1788739148.971,4.842,4.885,1
18.833,1788739149.171,4.842,4.945,1
19.033,1788739149.371,4.842,5.005,1
19.233,1788739149.571,4.842,5.065,1
19.433,1788739149.771,4.842,5.125,1
19.633,1788739149.971,4.842,5.186,1
19.833,1788739150.171,4.842,5.246,1
20.033,1788739150.371,4.842,5.306,1
20.233,1788739150.571,4.842,5.366,1
20.432,1788739150.771,4.842,5.426,1
20.633,1788739150.971,4.842,5.487,1
20.833,1788739151.171,4.842,5.547,1
21.033,1788739151.371,4.842,5.607,1
21.233,1788739151.571,4.842,5.667,1
21.433,1788739151.771,4.842,5.727,1
21.633,1788739151.971,4.842,5.788,1
21.832,1788739152.170,4.842,5.848,1
22.032,1788739152.370,4.842,5.908,1
22.232,1788739152.570,4.842,5.968,1
22.432,1788739152.770,4.842,6.028,1
22.632,1788739152.970,4.842,6.089,1
22.832,1788739153.170,4.842,6.149,1
23.032,1788739153.370,4.842,6.209,1
23.232,1788739153.570,4.842,6.269,1
23.432,1788739153.770,4.842,6.329,1
23.632,1788739153.970,4.842,6.390,1
23.832,1788739154.170,4.842,6.450,1
24.032,1788739154.370,4.842,6.510,0
24.232,1788739154.570,4.842,6.510,0
24.432,1788739154.770,4.842,6.510,0
24.632,1788739154.970,4.842,6.510,0
24.832,1788739155.170,4.842,6.510,0
25.032,1788739155.370,4.842,6.510,0
25.232,1788739155.570,4.842,6.510,0
25.432,1788739155.770,4.842,6.510,0
25.632,1788739155.970,4.842,6.510,0
25.832,1788739156.170,4.842,6.510,0
26.032,1788739156.370,4.842,6.510,0
26.232,1788739156.570,4.842,6.510,0
26.432,1788739156.770,4.842,6.510,0
26.632,1788739156.970,4.842,6.510,0
26.832,1788739157.170,4.842,6.510,0
27.032,1788739157.370,4.842,6.510,0
27.232,1788739157.570,4.842,6.510,0
27.432,1788739157.770,4.842,6.510,0
27.632,1788739157.970,4.842,6.510,0
27.832,1788739158.170,4.842,6.510,0
28.032,1788739158.370,4.842,6.510,0
28.232,1788739158.570,4.842,6.510,0
28.432,1788739158.770,4.842,6.510,0
28.632,1788739158.970,4.842,6.510,0
28.831,1788739159.170,4.842,6.510,0
29.032,1788739159.370,4.842,6.510,0
29.232,1788739159.570,4.842,6.510,0
29.432,1788739159.770,4.842,6.510,0
29.632,1788739159.970,4.842,6.510,0
29.832,1788739160.170,4.842,6.510,0
30.032,1788739160.370,4.842,6.510,0
30.232,1788739160.570,4.842,6.510,0
30.432,1788739160.770,4.842,6.510,0
30.632,1788739160.970,4.842,6.510,0
30.832,1788739161.170,4.842,6.510,0
31.032,1788739161.370,4.842,6.510,0
31.232,1788739161.570,4.842,6.510,0
31.432,1788739161.770,4.842,6.510,0
31.632,1788739161.970,4.842,6.510,0
31.832,1788739162.170,4.842,6.510,0
32.032,1788739162.370,4.842,6.510,0
32.232,1788739162.570,4.842,6.510,0
32.432,1788739162.770,4.842,6.510,0
32.632,1788739162.970,4.842,6.510,0
32.832,1788739163.170,4.842,6.510,0
