1.12145,0
2.94351,0
5.84499,0
5.8188,0
5.87732,0
1.21485,0
4.57343,0
4.9802,0
6.78878,0
6.03289,0
3.64232,0
4.09,0
4.95164,0
4.61109,0
1.24668,0
3.00462,0
1.54581,0
1.58622,0
2.04856,0
2.41415,0
1.84041,0
5.46481,0
2.02919,0
6.04722,0
3.21799,0
5.19457,0
4.30543,0
10.7625,0
7.33959,0
1.16082,0
18.0178,0
2.06104,0
3.70231,0
18.6899,0
26.7749,0
8.08181,0
28.8633,0
10.9825,0
8.50388,0
15.8166,0
5.76854,0
8.84975,0
6.67562,0
13.6923,0
4.78216,0
5.38953,0
3.68717,0
7.71882,0
5.59531,0
7.76998,0
7.9131,0
5.16036,0
1.56122,0
8.97553,0
2.04614,0
21.8005,0
2.34215,0
8.10724,0
6.53858,0
16.7973,0
9.77341,0
6.61225,0
9.09179,0
21.6314,0
5.90349,0
10.9096,0
4.92762,0
2.85473,0
4.97243,0
8.98848,0
3.00351,0
6.3695,0
6.30222,0
4.06311,0
10.7579,0
4.22705,0
8.49084,0
16.2147,0
8.13234,0
9.85263,0
12.5402,0
13.5024,0
11.5689,0
3.19628,0
10.4069,0
14.0714,0
4.44554,0
1.6488,0
23.6117,0
13.7482,0
8.84643,0
12.6032,0
12.0596,0
19.847,0
2.20775,0
8.67179,0
8.50246,0
8.4814,0
9.09927,0
19.5508,0
14.2754,0
21.0522,0
21.6316,0
4.46894,0
7.95324,0
9.8868,0
6.54728,0
9.01473,0
11.7566,0
5.07708,0
20.7379,0
9.49837,0
4.31967,0
10.9549,0
34.9411,0
11.1879,0
27.799,0
18.1969,0
2.39249,0
30.9639,0
2.26986,0
27.5155,0
10.5126,0
15.9091,0
8.37042,0
4.18038,0
4.77735,0
1.39954,1
2.24669,1
2.90809,1
1.1794,1
1.00056,1
2.43682,1
5.00409,1
2.98596,1
1023,1
1.00087,1
1.99644,1
3.80195,1
8.87838,1
1021,1
1.92696,1
1022,1
1.84837,1
1017,1
7.67819,1
1019,1
10.2449,1
1019,1
1023,1
2.65667,1
1023,1
32.5475,1
1012,1
1022,1
55.4654,1
1023,1
1022,1
35.2254,1
1021,1
1021,1
1022,1
1023,1
81.6679,1
131.266,1
305.537,1
1023,1
1023,1
1023,1
1023,1
1023,1
545.473,1
1023,1
1022,1
1022,1
1022,1
1019,1
1018,1
1022,1
1015,1
1016,1
1018,1
1016,1
1018,1
1016,1
1018,1
1019,1
1010,1
1008,1
1008,1
1010,1
1011,1
1007,1
1005,1
1003,1
994,1
990,1
994,1
991,1
982,1
974,1
965,1
965,1
950,1
951,1
944,1
915,1
903,1
908,1
874,1
886,1
854,1
849,1
798,1
814,1
779,1
743,1
705,1
690,1
680,1
613,1
590,1
587,1
529,1
519,1
489,1
455,1
432,1
399,1
371,1
322,1
284,1
269,1
232,1
207,1
200,1
190,1
189,1
151,1
125,1
113,1
121,1
113,1
131,1
111,1
174,1
224,1
312,1
484,1
628,1
727,1
815,1
858,1
903,1
925,1
945,1
974,1
982,1
1004,1
1010,1
1023,1
1021,1
1023,1
1.05599,1
1.60273,1
12.7632,1
7.41819,1
11.2275,1
15.9243,1
37.0103,1
58.6074,1
86.0148,1
77.6786,1
133.801,1
1.90184,1
1.27033,1
1.15966,1
1.43708,1
1.21385,1
2.1737,1
2.20551,1
1.02331,1
1.01617,1
1.00141,1
1.01192,1
1.00168,1
1.0021,1
1.00144,1
1.00149,1
