t,t_abs,bx,by,moving
30.431,1788738763.484,4.133,6.517,0
30.632,1788738763.684,4.133,6.517,0
30.831,1788738763.884,4.133,6.517,0
31.031,1788738764.084,4.133,6.517,0
31.231,1788738764.284,4.133,6.517,0
31.431,1788738764.484,4.133,6.517,0
31.631,1788738764.684,4.133,6.517,0
31.831,1788738764.884,4.133,6.517,0
32.031,1788738765.084,4.133,6.517,0
32.232,1788738765.284,4.133,6.517,0
32.431,1788738765.484,4.133,6.517,0
32.631,1788738765.684,4.133,6.517,0
32.831,1788738765.884,4.133,6.517,0
33.031,1788738766.084,4.133,6.517,0
33.231,1788738766.284,4.133,6.517,0
33.431,1788738766.484,4.133,6.517,0
33.631,1788738766.684,4.133,6.517,0
